title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,meeting_time,meeting_place,source_url
FRA Branch 334 - Osage Heritage,fra-branch-334-ar,local,Branch 334,fra,FRA,world-war-1,World War I,AR,arkansas,Boone County,boone-county,ar_05009,PO Box 177,Alpena,72611,36.2940722,-93.2974531,true,,,,,,,,,334,"Surrendered Charter 4/26/2024 1200, 2nd Sat.","Western Sizzlin, 905 62-65 North, Harrison, AR",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=334
FRA Branch 77 - Green Valley,fra-branch-77-az,local,Branch 77,fra,FRA,world-war-1,World War I,AZ,arizona,Santa Cruz County,santa-cruz-county,az_04023,PO Box 128,Sonoita,85637,31.6793295,-110.6557777,true,,,,,,,,,77,"1000, 2nd Tues.","AmLeg Post 131, 249 W Esperanza Dr., Green Valley, AZ",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=077
"FRA Branch 149 - Az, Sierra Vista",fra-branch-149-az,local,Branch 149,fra,FRA,world-war-1,World War I,AZ,arizona,Cochise County,cochise-county,az_04003,,,,31.5659931,-110.2743566,true,,,,,,,,,149,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=149
FRA Branch 157 - Cactus,fra-branch-157-az,local,Branch 157,fra,FRA,world-war-1,World War I,AZ,arizona,Yuma County,yuma-county,az_04027,1357 E 22nd Pl,Yuma,85365,32.6863279,-114.6061628,true,,,,,,,,,157,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=157
FRA Branch 163 - Valley Of The Sun,fra-branch-163-az,local,Branch 163,fra,FRA,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,1629 West,Acoma Drive Phoenix,85023,33.6175173,-112.0948191,true,,,https://sites.google.com/view/fra-branch-163/,,,,,,163,"1100, 2nd Sat. & Virtual",Contact Pres Ege 503-741-0916 Indiviudals Residence & Virtually/Online,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=163
FRA Branch 176 - Old Pueblo,fra-branch-176-az,local,Branch 176,fra,FRA,world-war-1,World War I,AZ,arizona,Pima County,pima-county,az_04019,7634 E Apple Tree Dr,Tucson,85730,32.1637225,-110.8295694,true,,,,,,,,,176,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=176
FRA Branch 260 - Mohave County,fra-branch-260-az,local,Branch 260,fra,FRA,world-war-1,World War I,AZ,arizona,Mohave County,mohave-county,az_04015,916 S Emery Park Rd,Golden Valley,86413,35.2020019,-114.2931653,true,,,,,,,,,260,"(928) 565-5811Meeting time & date: 1300, 2nd Sat.",Contact Secretary Michael Reed: (928) 565-5811,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=260
FRA Branch 8 - Vallejo,fra-branch-8-ca,local,Branch 8,fra,FRA,world-war-1,World War I,CA,california,Solano County,solano-county,ca_06095,420 Admiral Callaghan Ln,Vallejo,94591,38.1183211,-122.2291429,true,,,,,,,,,8,"1830, 2nd Wed.","VVMB, 420 Admiral Callaghan Ln, Vallejo, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=008
FRA Branch 9 - San Diego,fra-branch-9-ca,local,Branch 9,fra,FRA,world-war-1,World War I,CA,california,San Diego County,san-diego-county,ca_06073,6302 Lake Athabaska Pl,San Diego,92119,32.7943665,-117.0094111,true,,,,,,,,,9,"1500, 3rd Sat.","Branch Home 62, 3638 Ocean View Blvd., San Diego, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=009
FRA Branch 10 - Oakland San Leandro,fra-branch-10-ca,local,Branch 10,fra,FRA,world-war-1,World War I,CA,california,Contra Costa County,contra-costa-county,ca_06013,216 Wellington Ave,Concord,94520,38.0263504,-122.0284152,true,,,,,,,,,10,"1900, 1st Wed.https://frabranch10.shutterfly.com/","Veterans Memorial Bldg, 1105 Bancroft Ave., San Leandro, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=010
FRA Branch 26 - Golden Empire,fra-branch-26-ca,local,Branch 26,fra,FRA,world-war-1,World War I,CA,california,Kern County,kern-county,ca_06029,6502 Summer Breeze Ln,Bakersfield,93313,35.2954361,-119.0436217,true,,,,,,,,,26,"1900, 4th Thurs.","VFW Post 97, 5350 S Union Ave, Bakerfield, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=026
"FRA Branch 39 - Ca, Inglewood",fra-branch-39-ca,local,Branch 39,fra,FRA,world-war-1,World War I,CA,california,Los Angeles County,los-angeles-county,ca_06037,,,,33.9617977,-118.3533544,true,,,,,,,,,39,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=039
FRA Branch 43 - Long Beach,fra-branch-43-ca,local,Branch 43,fra,FRA,world-war-1,World War I,CA,california,Los Angeles County,los-angeles-county,ca_06037,PO Box 20900,Long Beach,90801,33.7705139,-118.187732,true,,,,,,,,,43,"1900, 3rd Tues.","295 E. 3rd St., Long Beach, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=043
FRA Branch 47 - James Hunter,fra-branch-47-ca,local,Branch 47,fra,FRA,world-war-1,World War I,CA,california,San Diego County,san-diego-county,ca_06073,136 Chamber St,El Cajon,92020,32.7959012,-116.9669086,true,,,,,,,,,47,"1200, 1st Wed.","Veterans Memorial Hall, 136 Chambers St., El Cajon, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=047
FRA Branch 48 - San Francisco,fra-branch-48-ca,local,Branch 48,fra,FRA,world-war-1,World War I,CA,california,San Francisco County,san-francisco-county,ca_06075,90 Canyon Dr,San Francisco,94112,37.7089725,-122.4320042,true,,,,,,,,,48,"1100, 4th Sat.","San Francisco War Memorial Bldg., San Francisco, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=048
FRA Branch 61 - Chula Vista,fra-branch-61-ca,local,Branch 61,fra,FRA,world-war-1,World War I,CA,california,San Diego County,san-diego-county,ca_06073,288 Third Ave,Chula Vista,91910,32.6417088,-117.080523,true,,,,,,,,,61,"1700, 2nd Wed.","Branch Home 61, 288 Third Ave., Chula Vista, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=061
FRA Branch 62 - San Diego,fra-branch-62-ca,local,Branch 62,fra,FRA,world-war-1,World War I,CA,california,San Diego County,san-diego-county,ca_06073,3638 Ocean View Blvd.,San Diego,92113,32.7015419,-117.1160039,true,,,,,,,,,62,"1500, 3rd Sat.","Branch Home 62, 3638 Ocean View Blvd., San Diego, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=062
"FRA Branch 65 - Ca, Chico",fra-branch-65-ca,local,Branch 65,fra,FRA,world-war-1,World War I,CA,california,Butte County,butte-county,ca_06007,,,,39.7282839,-121.8379978,true,,,,,,,,,65,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=065
FRA Branch 69 - Camellia City,fra-branch-69-ca,local,Branch 69,fra,FRA,world-war-1,World War I,CA,california,Sacramento County,sacramento-county,ca_06067,7404 Bouvais Cir,Sacramento,95828,38.48812179999999,-121.38663,true,,,,,,,,,69,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=069
FRA Branch 70 - Poway Valley,fra-branch-70-ca,local,Branch 70,fra,FRA,world-war-1,World War I,CA,california,San Diego County,san-diego-county,ca_06073,9135 Ellingham St,San Diego,92129,32.9664834,-117.1301244,true,,,,,,,,,70,"1900, 3rd Wed.","FRA Branch 70 Club, 14231 Garden Rd., Suite 10 Poway, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=070
"FRA Branch 80 - Ca, San Diego",fra-branch-80-ca,local,Branch 80,fra,FRA,world-war-1,World War I,CA,california,San Diego County,san-diego-county,ca_06073,,,,32.715738,-117.1610838,true,,,,,,,,,80,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=080
"FRA Branch 81 - Ca, Hesperia",fra-branch-81-ca,local,Branch 81,fra,FRA,world-war-1,World War I,CA,california,San Bernardino County,san-bernardino-county,ca_06071,,,,34.4237122,-117.315605,true,,,,,,,,,81,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=081
FRA Branch 84 - San Diego,fra-branch-84-ca,local,Branch 84,fra,FRA,world-war-1,World War I,CA,california,San Diego County,san-diego-county,ca_06073,"PMB 19, 2650 Jamaca Rd, Ste 147",El Cajon,92019,32.7751095,-116.8556955,true,,,,,,,,,84,"1300, 2nd Sat.","FAVA Bldg., 2926 Market St., San Diego, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=084
FRA Branch 85 - San Gabriel Valley,fra-branch-85-ca,local,Branch 85,fra,FRA,world-war-1,World War I,CA,california,Los Angeles County,los-angeles-county,ca_06037,867 Pinefalls Ave,Walnut,91789,34.0009629,-117.8480961,true,,,http://fra085.org/,,,,,,85,"1400, 3rd Sun.","VFW Post, USS Gudgeon Ship 8310, 1006 W. Magnolia, Burbank, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=085
FRA Branch 88 - Harold C. Jones,fra-branch-88-ca,local,Branch 88,fra,FRA,world-war-1,World War I,CA,california,San Diego County,san-diego-county,ca_06073,743 Galaxy Dr,Vista,92083,33.2026024,-117.2711586,true,,,,,,,,,88,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=088
FRA Branch 95 - China Lake,fra-branch-95-ca,local,Branch 95,fra,FRA,world-war-1,World War I,CA,california,Kern County,kern-county,ca_06029,PO Box 1621,Ridgecrest,93556,35.62,-117.67,true,,,,,,,,,95,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=095
FRA Branch 101 - Santa Clara Valley,fra-branch-101-ca,local,Branch 101,fra,FRA,world-war-1,World War I,CA,california,Alameda County,alameda-county,ca_06001,2829 Langhorn Dr,Fremont,94555,37.5854189,-122.0347387,true,,,,,,,,,101,"1100 am, 2nd Sat.","AmLeg Post #564, 2120 Walsh Ave., Santa Clara, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=101
FRA Branch 108 - Norco,fra-branch-108-ca,local,Branch 108,fra,FRA,world-war-1,World War I,CA,california,Riverside County,riverside-county,ca_06065,4080 Pedley Rd Spc 116,Riverside,92509,34.0149012,-117.4734099,true,,,,,,,,,108,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=108
"FRA Branch 113 - Stockton, California Branch 113",fra-branch-113-ca,local,Branch 113,fra,FRA,world-war-1,World War I,CA,california,San Joaquin County,san-joaquin-county,ca_06077,PO Box 690513,Stockton,95269,37.9575104,-121.2924737,true,,,,,,,,,113,"1300, 1st Tues.","Stockton Summerplace Home, 8318 Manhattan Dr., Stockton, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=113
"FRA Branch 114 - Ca, Santa Rosa",fra-branch-114-ca,local,Branch 114,fra,FRA,world-war-1,World War I,CA,california,Sonoma County,sonoma-county,ca_06097,,,,38.440429,-122.7140548,true,,,,,,,,,114,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=114
FRA Branch 120 - Ventura County,fra-branch-120-ca,local,Branch 120,fra,FRA,world-war-1,World War I,CA,california,Ventura County,ventura-county,ca_06111,1300 Hibiscus St,Port Hueneme,93036,34.2256706,-119.1920024,true,,,,,,,,,120,"1400, 3rd Sun.","VFW Post 3539, 300 S Surfside Dr, Port Hueneme, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=120
FRA Branch 121 - Concord,fra-branch-121-ca,local,Branch 121,fra,FRA,world-war-1,World War I,CA,california,Contra Costa County,contra-costa-county,ca_06013,,,,37.9817195,-122.025904,true,,,,,,,,,121,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=121
FRA Branch 125 - East Bay,fra-branch-125-ca,local,Branch 125,fra,FRA,world-war-1,World War I,CA,california,Contra Costa County,contra-costa-county,ca_06013,709 Coventry Rd,Kensington,94707,37.903911,-122.2809751,true,,,,,,,,,125,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=125
"FRA Branch 129 - Ca, San Bernardino",fra-branch-129-ca,local,Branch 129,fra,FRA,world-war-1,World War I,CA,california,San Bernardino County,san-bernardino-county,ca_06071,,,,34.1045589,-117.291869,true,,,,,,,,,129,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=129
"FRA Branch 135 - Ca, Hemet",fra-branch-135-ca,local,Branch 135,fra,FRA,world-war-1,World War I,CA,california,Riverside County,riverside-county,ca_06065,2972 Dogwood Way,Hemet,92545,33.7241811,-117.0024074,true,,,,,,,,,135,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=135
FRA Branch 139 - Lakeside,fra-branch-139-ca,local,Branch 139,fra,FRA,world-war-1,World War I,CA,california,San Diego County,san-diego-county,ca_06073,PO Box 484,La Mesa,91944,32.77,-117.02,true,,,,,,,,,139,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=139
FRA Branch 140 - San Jose,fra-branch-140-ca,local,Branch 140,fra,FRA,world-war-1,World War I,CA,california,Santa Clara County,santa-clara-county,ca_06085,898 Hummingbird Dr,San Jose,95125,37.286451,-121.8787415,true,,,,,,,,,140,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=140
"FRA Branch 150 - Ca, El Centro",fra-branch-150-ca,local,Branch 150,fra,FRA,world-war-1,World War I,CA,california,Imperial County,imperial-county,ca_06025,,,,32.792,-115.5630514,true,,,,,,,,,150,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=150
"FRA Branch 153 - Ca, Palmdale-Lancaster",fra-branch-153-ca,local,Branch 153,fra,FRA,world-war-1,World War I,CA,california,Los Angeles County,los-angeles-county,ca_06037,,,,34.703947,-118.1481016,true,,,,,,,,,153,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=153
FRA Branch 175 - Orange County,fra-branch-175-ca,local,Branch 175,fra,FRA,world-war-1,World War I,CA,california,Orange County,orange-county,ca_06059,12242 Cliffwood Ave,Garden Grove,92840,33.7944131,-117.9193665,true,,,,,,,,,175,"1330 BOD/1400 Bus., 2nd Sun.","1151 Trask Ave, Garden Grove, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=175
FRA Branch 178 - Monterey Peninsula,fra-branch-178-ca,local,Branch 178,fra,FRA,world-war-1,World War I,CA,california,Monterey County,monterey-county,ca_06053,679 Dennett St,Pacific Grove,93950,36.6193089,-121.9334672,true,,,,,,,,,178,"1800, 3rd Tues.","AmLeg Post 41, 1110 Veterans Dr., Monterey, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=178
"FRA Branch 196 - Ca, Garden Grove",fra-branch-196-ca,local,Branch 196,fra,FRA,world-war-1,World War I,CA,california,Orange County,orange-county,ca_06059,,,,33.7742692,-117.9379952,true,,,,,,,,,196,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=196
FRA Branch 197 - Modesto,fra-branch-197-ca,local,Branch 197,fra,FRA,world-war-1,World War I,CA,california,San Joaquin County,san-joaquin-county,ca_06077,2332 Shadow Berry Dr,Manteca,95336,37.8295164,-121.2429597,true,,,https://www.facebook.com/groups/1467883026647076,,,,,,197,"1300, 2nd Sun","Stanislaus Veterans Center, 3500 Coffee Rd., Ste. 15, Modesto, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=197
"FRA Branch 211 - Ca, Chino",fra-branch-211-ca,local,Branch 211,fra,FRA,world-war-1,World War I,CA,california,San Bernardino County,san-bernardino-county,ca_06071,,,,34.0136813,-117.6905621,true,,,,,,,,,211,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=211
FRA Branch 230 - Sunrise,fra-branch-230-ca,local,Branch 230,fra,FRA,world-war-1,World War I,CA,california,Placer County,placer-county,ca_06061,7808,Rosestone Lane Roseville,95747,38.7896927,-121.3491953,true,,,,,,,,,230,"1700, 1st Mon.","Roseville Vets Memorial Hall, 110 Park Drive, Roseville, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=230
FRA Branch 249 - Fresno,fra-branch-249-ca,local,Branch 249,fra,FRA,world-war-1,World War I,CA,california,Tulare County,tulare-county,ca_06107,38743 Highway 99,Kingsburg,93631,36.4931443,-119.5303463,true,,,,,,,,,249,"1830, 4th Wed.","AmLeg Post 147, 508 4th Street, Clovis, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=249
FRA Branch 261 - Lemoore,fra-branch-261-ca,local,Branch 261,fra,FRA,world-war-1,World War I,CA,california,Kings County,kings-county,ca_06031,PO.Box 669,Lemoore,93245,36.3007835,-119.7829107,true,,,,,,,,,261,"1730, 2nd Wed. Except Dec.","FRA Club 261, 788 E. ""D"" St., Lemoore, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=261
"FRA Branch 266 - Ca, Fremont",fra-branch-266-ca,local,Branch 266,fra,FRA,world-war-1,World War I,CA,california,Alameda County,alameda-county,ca_06001,,,,37.5485396,-121.988583,true,,,,,,,,,266,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=266
"FRA Branch 270 - Ca, Escondido",fra-branch-270-ca,local,Branch 270,fra,FRA,world-war-1,World War I,CA,california,San Diego County,san-diego-county,ca_06073,,,,33.1192068,-117.086421,true,,,,,,,,,270,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=270
FRA Branch 272 - Central Coast,fra-branch-272-ca,local,Branch 272,fra,FRA,world-war-1,World War I,CA,california,San Luis Obispo County,san-luis-obispo-county,ca_06079,14102 San Antonio Rd,Atascadero,93422,35.4297639,-120.628397,true,,,,,,,,,272,"1300, 2nd Sat.","Shell Beach Veteran's Hall, 230 Leeward, Pismo Beach, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=272
FRA Branch 275 - Hangtown,fra-branch-275-ca,local,Branch 275,fra,FRA,world-war-1,World War I,CA,california,El Dorado County,el-dorado-county,ca_06017,PO Box 224,Rescue,95672,38.7148404,-120.9528258,true,,,http://frabranch275.org/,,,,,,275,"1000, 4th Sat.","Veterans Memorial Bldg., 130 Placerville Dr., Placerville, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=275
FRA Branch 281 - Lake Shasta,fra-branch-281-ca,local,Branch 281,fra,FRA,world-war-1,World War I,CA,california,Shasta County,shasta-county,ca_06089,P.O. Box 87,Anderson,96007,40.448208,-122.2977815,true,,,,,,,,,281,"1400, Last Sun.","2110 North Street, Anderson, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=281
FRA Branch 287 - Livermore,fra-branch-287-ca,local,Branch 287,fra,FRA,world-war-1,World War I,CA,california,Alameda County,alameda-county,ca_06001,10620 Flynn Rd,S Livermore,94550,37.6999269,-121.6605552,true,,,,,,,,,287,"1830, 1st Fri.","Livermore Vets Hall, 522 South L St., Livermore, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=287
FRA Branch 289 - Imperial Beach,fra-branch-289-ca,local,Branch 289,fra,FRA,world-war-1,World War I,CA,california,San Diego County,san-diego-county,ca_06073,659 Silver Strand Blvd,Imperial Beach,91932,32.5847595,-117.1278898,true,,,,,,,,,289,"1900, 2nd Wed.","Branch Home, 659 Silver Strand Blvd., Imperial Beach, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=289
FRA Branch 296 - Mother Lode,fra-branch-296-ca,local,Branch 296,fra,FRA,world-war-1,World War I,CA,california,Placer County,placer-county,ca_06061,5135 Meadow View Ln,Auburn,95602,38.9795464,-121.1122482,true,,,,,,,,,296,"1300, 3rd Sun.","Veterans Memorial Bldg, 100 East Street, Auburn, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=296
FRA Branch 302 - Carson,fra-branch-302-ca,local,Branch 302,fra,FRA,world-war-1,World War I,CA,california,Los Angeles County,los-angeles-county,ca_06037,1843 E 214th St,Carson,90745,33.8349302,-118.238933,true,,,,,,,,,302,"1300, 1st Sun.","Veterans Park, 22400 Moneta Ave., Carson, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=302
FRA Branch 312 - Northwest San Diego,fra-branch-312-ca,local,Branch 312,fra,FRA,world-war-1,World War I,CA,california,San Diego County,san-diego-county,ca_06073,4853 Mt. Elbrus Dr,San Diego,92117,32.8214033,-117.1906764,true,,,,,,,,,312,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=312
FRA Branch 313 - Camp Pendleton,fra-branch-313-ca,local,Branch 313,fra,FRA,world-war-1,World War I,CA,california,San Diego County,san-diego-county,ca_06073,1450 Machado St,Oceanside,92054,33.184053,-117.361708,true,,,,,,,,,313,"1200, 3rd Sat.","Masonic Lodge, 511 Euccalyptus Avenue, Oceanside, CA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=313
FRA Branch 317 - Los Alamitos,fra-branch-317-ca,local,Branch 317,fra,FRA,world-war-1,World War I,CA,california,Los Angeles County,los-angeles-county,ca_06037,21520 Budlong Ave,Torrance,90502,33.8326235,-118.2949584,true,,,,,,,,,317,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=317
FRA Branch 326 - Redwood Empire,fra-branch-326-ca,local,Branch 326,fra,FRA,world-war-1,World War I,CA,california,Humboldt County,humboldt-county,ca_06023,2000 Smith Ln Apt,E Fortuna,95540,40.5924041,-124.1449011,true,,,,,,,,,326,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=326
"FRA Branch 351 - Ca, Clearlake",fra-branch-351-ca,local,Branch 351,fra,FRA,world-war-1,World War I,CA,california,Lake County,lake-county,ca_06033,,,,38.961809,-122.6312972,true,,,,,,,,,351,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=351
FRA Branch 21 - Colo Wyo Border,fra-branch-21-co,local,Branch 21,fra,FRA,world-war-1,World War I,CO,colorado,Weld County,weld-county,co_08123,PO Box 613,Johnstown,80534,40.3379993,-104.9272044,true,,,,,,,,,21,"1900, 2nd Tues.","Resthaven Funeral Home, 8426 S. Hwy 287, Ft. Collins, CO",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=021
FRA Branch 49 - Mile High,fra-branch-49-co,local,Branch 49,fra,FRA,world-war-1,World War I,CO,colorado,Jefferson County,jefferson-county,co_08059,PO Box 746620,Arvada,80006,39.85,-105.08,true,,,,,,,,,49,"1100, 2nd Mon.",Contact Secretary for Location 720-638-4522,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=049
FRA Branch 155 - Mike Boorda,fra-branch-155-co,local,Branch 155,fra,FRA,world-war-1,World War I,CO,colorado,Gunnison County,gunnison-county,co_08051,,,,38.7945952,-106.5348379,true,,,,,,,,,155,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=155
