title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number
Department of Mississippi American Legion,legion_ms_28049,state,legion,legion,LEGION,world-war-1,World War I,MS,mississippi,Hinds County,hinds-county,ms_28049,120 North State Street,Jackson,39205,32.32,-90.207,true,1-601-352-4986,membership@legion.org,https://msamlegion.org/,https://www.facebook.com/americanlegionhq,https://www.instagram.com/theamericanlegion/,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
Montana American Legion Department,legion_mt_30047,state,legion,legion,LEGION,world-war-1,World War I,MT,montana,Lake County,lake-county,mt_30047,PO Box 1447,Polson,59860,46.595805,-112.027031,true,(570) 797-2326,membership@legion.org,https://mtlegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of North Carolina,legion_nc_37101,state,legion,legion,LEGION,world-war-1,World War I,NC,north-carolina,Johnston County,johnston-county,nc_37101,2940 Falstaff Rd.,Raleigh,27610,35.771,-78.638,true,(814)333-8782,membership@legion.org,https://nclegion.org/,https://www.facebook.com/AmericanLegionDeptOfNC/,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/watch?v=WJHC6ZTTCIs,,
American Legion Department of North Dakota,legion_nd_38017,state,legion,legion,LEGION,world-war-1,World War I,ND,north-dakota,Cass County,cass-county,nd_38017,405 W. Main Ave.,West Fargo,58078,48.813343,-100.779004,true,(814)634-7270,programs@ndlegion.org,https://www.ndlegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of Nebraska,legion_ne_31109,state,legion,legion,LEGION,world-war-1,World War I,NE,nebraska,Lancaster County,lancaster-county,ne_31109,150 NW 40th Street,Lincoln,68528,40.809868,-96.675345,true,(814) 265-2404,membership@legion.org,https://www.nebraskalegion.net/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of New Hampshire,legion_nh_33013,state,legion,legion,LEGION,world-war-1,World War I,NH,new-hampshire,Merrimack County,merrimack-county,nh_33013,21 South Fruit Street,Concord,3301,43.220093,-71.549127,true,(603) 252-4729,nancydowns12@gmail.com,https://www.legionnh.org/,https://www.facebook.com/NHLegion,https://www.instagram.com/theamericanlegion/,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of NJ,legion_nj_34021,state,legion,legion,LEGION,world-war-1,World War I,NJ,new-jersey,Mercer County,mercer-county,nj_34021,171 Jersey Street,Trenton,8611,40.221741,-74.756138,true,(814)781-1014,membership@legion.org,https://www.njamericanlegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
American Legion Department of New Mexico,legion_nm_35001,state,legion,legion,LEGION,world-war-1,World War I,NM,new-mexico,Bernalillo County,bernalillo-county,nm_35001,1215 Mountain RD NE,Albuquerque,87102,35.667231,-105.964575,true,(814) 725-1206,membership@legion.org,https://www.nmlegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of Nevada,legion_nv_32003,state,legion,legion,LEGION,world-war-1,World War I,NV,nevada,Clark County,clark-county,nv_32003,737 Veterans Memorial Drive,Las Vegas,89101,39.160949,-119.753877,true,702-382-2353,sschneeberger.tal2020@gmail.com,https://www.nvlegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of New York,legion_ny_36083,state,legion,legion,LEGION,world-war-1,World War I,NY,new-york,Rensselaer County,rensselaer-county,ny_36083,1304 Park Boulevard,Troy,12180,42.659829,-73.781339,true,(800) 433-3318,membership@legion.org,https://nylegion.net/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of Ohio,legion_oh_39041,state,legion,legion,LEGION,world-war-1,World War I,OH,ohio,Delaware County,delaware-county,oh_39041,60 Big Run Rd,Delaware,43015,39.962245,-83.000647,true,740.362.7478,membership@legion.org,https://www.ohiolegion.com/,https://www.facebook.com/AmericanLegionDepartmentOfOhio/,https://www.instagram.com/ohio_legion/,https://twitter.com/Ohio_Legion,https://www.youtube.com/channel/UCG5DACPf0uyfSa4ErKHOH_g?view_as=subscriber,,
The American Legion Department of Oklahoma,legion_ok_40109,state,legion,legion,LEGION,world-war-1,World War I,OK,oklahoma,Oklahoma County,oklahoma-county,ok_40109,6101 NW 50th Street-Suite A,Warr Acres,73122,35.482309,-97.534994,true,405 942-1705,membership@legion.org,https://www.okamlegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of Oregon,legion_or_41005,state,legion,legion,LEGION,world-war-1,World War I,OR,oregon,Clackamas County,clackamas-county,or_41005,30450 SW Parkway Avenue,Wilsonville,97070,44.931109,-123.029159,true,(814) 635-4361,062a84fa981144c3a2f87d8ed19c59d1@orlegion.org,https://www.orlegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
American Legion Department of Pennsylvania,legion_pa_42041,state,legion,legion,LEGION,world-war-1,World War I,PA,pennsylvania,Cumberland County,cumberland-county,pa_42041,800 N. Front Street,Wormleysburg,17043,40.269789,-76.875613,true,(724)676-5611,membership@legion.org,https://www.pa-legion.com/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
Rhode Island American Legion,legion_ri_44003,state,legion,legion,LEGION,world-war-1,World War I,RI,rhode-island,Kent County,kent-county,ri_44003,5440 Herbert Lord Rd,Cranston,2920,41.82355,-71.422132,true,(800) 433-3318,post85dave@gmail.com,https://www.legionri.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of South Carolina,legion_sc_45063,state,legion,legion,LEGION,world-war-1,World War I,SC,south-carolina,Lexington County,lexington-county,sc_45063,103 Legion Plaza Rd,Columbia,29210,34.0,-81.035,true,(814) 467-5613,membership@legion.org,https://southcarolinalegion.org/,https://www.facebook.com/americanlegionhq,https://www.instagram.com/theamericanlegion/,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
American Legion Department of South Dakota,legion_sd_46029,state,legion,legion,LEGION,world-war-1,World War I,SD,south-dakota,Codington County,codington-county,sd_46029,P.O. Box 67,Watertown,57201,44.367966,-100.336378,true,(724) 588-3700,membership@legion.org,https://www.sdlegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of Tennessee,legion_tn_47037,state,legion,legion,LEGION,world-war-1,World War I,TN,tennessee,Davidson County,davidson-county,tn_47037,318 Donelson Pike,Nashville,37214,36.165,-86.784,true,(800) 235-6943,membership@legion.org,https://www.tennesseelegion.org/,https://www.facebook.com/americanlegionhq,https://www.instagram.com/theamericanlegion/,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of Texas,legion_tx_48453,state,legion,legion,LEGION,world-war-1,World War I,TX,texas,Travis County,travis-county,tx_48453,P.O. Box 140527,Austin,78714,30.266667,-97.75,true,(512) 472-4138,membership@legion.org,https://www.txlegion.org/,https://www.facebook.com/txlegion,https://instagram.com/txlegion,https://www.twitter.com/txlegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of Utah,legion_ut_49035,state,legion,legion,LEGION,world-war-1,World War I,UT,utah,Salt Lake County,salt-lake-county,ut_49035,"350 North State Street, PO Box 148000",Salt Lake City,84114,40.7547,-111.892622,true,(814) 667-7110,membership@legion.org,https://www.utlegion.org/,https://www.facebook.com/americanlegionhq/,https://instagram.com/theamericanlegion,https://twitter.com/americanlegion/with_replies,https://www.youtube.com/channel/UClEg8BvcEH4ZVkK6f9s_Z6Q,,
The American Legion Department of Virginia,legion_va_51087,state,legion,legion,LEGION,world-war-1,World War I,VA,virginia,Henrico County,henrico-county,va_51087,1708 Commonwealth Ave,Richmond,23230,37.54,-77.46,true,(717) 273-1531,membership@legion.org,https://www.valegion.org/,https://www.facebook.com/VirginiaLegion,https://www.instagram.com/explore/tags/valegion/,https://twitter.com/VirginiaLegion,https://www.facebook.com/VirginiaLegion,,
Vermont American Legion,legion_vt_50023,state,legion,legion,LEGION,world-war-1,World War I,VT,vermont,Washington County,washington-county,vt_50023,"126 State Street, P.O. Box 396",Montpelier,5601,44.26639,-72.57194,true,(215) 978-9481,membership@legion.org,https://vtlegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
American Legion Department of Washington,legion_wa_53067,state,legion,legion,LEGION,world-war-1,World War I,WA,washington,Thurston County,thurston-county,wa_53067,3600 Ruddell Rd SE,Lacey,98503,47.042418,-122.893077,true,(360) 491-4373,membership@legion.org,https://www.walegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
The American Legion Department of Wisconsin,legion_wi_55021,state,legion,legion,LEGION,world-war-1,World War I,WI,wisconsin,Columbia County,columbia-county,wi_55021,"2930 American Legion Dr., PO Box 388",Portage,53901,43.074722,-89.384444,true,(570)645-4374,info@wilegion.org,https://wilegion.org/,https://www.facebook.com/WIAmericanLegion/,https://www.instagram.com/wiamericanlegion/,https://twitter.com/AmericanLegion,https://www.youtube.com/channel/UCNGv5PL8PzdbGcZzjllqbtQ,,
The American Legion Department of West Virginia,legion_wv_54039,state,legion,legion,LEGION,world-war-1,World War I,WV,west-virginia,Kanawha County,kanawha-county,wv_54039,P.O. Box 3191,Charleston,25332,38.349497,-81.633294,true,(724)239-4851,department@wvlegion.org,https://www.wvlegion.org/,https://www.facebook.com/wvlegion,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
Wyoming American Legion,legion_wy_56021,state,legion,legion,LEGION,world-war-1,World War I,WY,wyoming,Laramie County,laramie-county,wy_56021,PO Box 20172,Cheyenne,82003,41.145548,-104.802042,true,(307) 634-3035,adjutant@wyolegion.org,https://www.wyolegion.org/,https://www.facebook.com/americanlegionhq,https://instagram.com/theamericanlegion,https://twitter.com/AmericanLegion,https://www.youtube.com/user/americanlegionHQ,,
