title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,hall_rental,legion_riders,sons_of_american_legion,auxiliary,boys_state,baseball,oratorical_contest,commander,dues,meeting_info,mylegion_url
American Legion AK Post 0013,legion-post-0013-ak,local,Post 0013,legion,LEGION,world-war-1,World War I,AK,alaska,Sitka City and Borough,sitka-city-and-borough,ak_02220,205 Lincoln St,Sitka,99835,57.05002,-135.33609,true,(907) 747-8629,americanlegionsitka@gmail.com,https://www.facebook.com/AmericanLegionSitkaPost13,,,,,,,false,true,true,true,true,true,true,Vincent Winter,60.0,Meetings 2nd Monday of each month @ 7:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002001300L&@IP_IDENTITY_SCID=0
American Legion AK Post 0014,legion-post-0014-ak,local,Post 0014,legion,LEGION,world-war-1,World War I,AK,alaska,Petersburg Census Area,petersburg-census-area,ak_02195,PO Box 1481,Petersburg,99833,56.8088,-132.9403,true,,post14psg@gmail.com,http://www.psglegion.org,,,,,,,true,false,false,false,false,false,false,Anthony Vinson,60.0,Meetings last Tuesday every month at 1830,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002001400L&@IP_IDENTITY_SCID=0
American Legion AK Post 0015,legion-post-0015-ak,local,Post 0015,legion,LEGION,world-war-1,World War I,AK,alaska,Matanuska-Susitna Borough,matanuska-susitna-borough,ak_02170,PO Box 1146,Palmer,99645,61.6022,-149.1197,true,(907) 745-4440,aklegion15@gmail.com,https://www.aklegion15.com,,,,,,,false,true,true,true,true,true,true,Ryan C Link,50.0,Meetings 1st & 3rd Monday of each month @ 6:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002001500L&@IP_IDENTITY_SCID=0
American Legion AK Post 0016,legion-post-0016-ak,local,Post 0016,legion,LEGION,world-war-1,World War I,AK,alaska,Kenai Peninsula Borough,kenai-peninsula-borough,ak_02122,2410 East End Rd,Homer,99603,59.6434,-151.5289,true,(907) 235-8864,postsixteen@yahoo.com,,,,,,,,false,true,true,false,true,true,true,Thomas E Gregoire,55.0,Meetings 3rd Wednesday each month @ 5:30 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002001600L&@IP_IDENTITY_SCID=0
American Legion AK Post 0017,legion-post-0017-ak,local,Post 0017,legion,LEGION,world-war-1,World War I,AK,alaska,Kodiak Island Borough,kodiak-island-borough,ak_02150,318 Center Ave,Kodiak,99615,57.788535,-152.405701,true,(907) 486-3258,aklegion@gci.net,,,,,,,,false,true,true,false,true,true,true,Stormy C Stutes,65.0,Meetings 2nd Tuesday of each month. e board 9 days later normally the 3rd Thursday general board meeting both 5:30pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002001700L&@IP_IDENTITY_SCID=0
American Legion AK Post 0018,legion-post-0018-ak,local,Post 0018,legion,LEGION,world-war-1,World War I,AK,alaska,Kenai Peninsula Borough,kenai-peninsula-borough,ak_02122,16340 Sterling Hwy,Ninilchik,99639,60.0441,-151.6662,true,(907) 567-3918,ninilchikpost18@gmail.com,,,,,,,,false,true,true,false,true,true,true,Gary W Jackinsky,55.0,Meetings 2nd Tuesday of each month @ 7:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002001800L&@IP_IDENTITY_SCID=0
American Legion AK Post 0020,legion-post-0020-ak,local,Post 0020,legion,LEGION,world-war-1,World War I,AK,alaska,Kenai Peninsula Borough,kenai-peninsula-borough,ak_02122,902 Cook Ave,Kenai,99611,60.552004,-151.260775,true,(907) 283-3222,post20kenai@gmail.com,,,,,,,,false,true,true,true,true,true,true,David Showalter,55.0,Meetings 4th Monday each month @ 6:00 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002002000L&@IP_IDENTITY_SCID=0
American Legion AK Post 0021,legion-post-0021-ak,local,Post 0021,legion,LEGION,world-war-1,World War I,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,840 W Fireweed Ln,Anchorage,99503,61.19858,-149.898662,true,(907) 333-0966,post21alaska@outlook.com,https://www.facebook.com/AmericanLegionPost21,,,,,,,false,false,false,false,false,false,false,Phyllis Cunningham,50.0,Meetings 3rd Saturday of each month @ 2:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002002100L&@IP_IDENTITY_SCID=0
American Legion AK Post 0022,legion-post-0022-ak,local,Post 0022,legion,LEGION,world-war-1,World War I,AK,alaska,Southeast Fairbanks Census Area,southeast-fairbanks-census-area,ak_02240,PO Box 964,Amherst Junction,54407,64.0429,-145.7383,true,(907) 895-4311,jackwarrenpost22@gmail.com,,,,,,,,false,false,false,false,false,false,false,Brittany Deters,75.0,Meetings 3rd Tuesday of each month @ 7:00pm at the moose lodge,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002002200L&@IP_IDENTITY_SCID=0
American Legion AK Post 0025,legion-post-0025-ak,local,Post 0025,legion,LEGION,world-war-1,World War I,AK,alaska,Juneau City and Borough,juneau-city-and-borough,ak_02110,12480 Glacier Highway,Juneau,99801,58.383637,-134.662665,true,(907) 586-1211,aukebaypost25@gmail.com,,,,,,,,false,true,true,false,true,true,true,Duff W Mitchell,55.0,Meetings 2nd Tuesday of each month @ 7:00 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002002500L&@IP_IDENTITY_SCID=0
American Legion AK Post 0026,legion-post-0026-ak,local,Post 0026,legion,LEGION,world-war-1,World War I,AK,alaska,Prince of Wales-Hyder Census Area,prince-of-wales-hyder-census-area,ak_02198,305 Easy St,Craig,99921,55.477589,-133.135995,true,(907) 401-0148,vegasmoles@pretonmail.com,,,,,,,,false,false,false,false,false,false,false,Irving Langmaid,45.0,Meetings 2nd Thursday of each month @ 12:30pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002002600L&@IP_IDENTITY_SCID=0
American Legion AK Post 0027,legion-post-0027-ak,local,Post 0027,legion,LEGION,world-war-1,World War I,AK,alaska,Valdez-Cordova Census Area,valdez-cordova-census-area,ak_02261,PO Box 27,Glennallen,99588,62.1263,-145.7655,true,(907) 822-3227,post27@cuinternet.net,,,,,,,,false,true,true,false,true,true,true,Terry L Keizer,45.0,Meetings 1st Wednesday each month @ 7:00 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002002700L&@IP_IDENTITY_SCID=0
American Legion AK Post 0028,legion-post-0028-ak,local,Post 0028,legion,LEGION,world-war-1,World War I,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,7001 Brayton Dr,Anchorage,99507,61.156799,-149.854568,true,(907) 344-3841,office@akpost28.com,,,,,,,,false,true,true,true,true,true,true,Henry Pagan,60.0,Meetings 1st Thursday each month @ 7:30 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002002800L&@IP_IDENTITY_SCID=0
American Legion AK Post 0029,legion-post-0029-ak,local,Post 0029,legion,LEGION,world-war-1,World War I,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,1467 Muldoon Rd,Anchorage,99504,61.207577,-149.733158,true,(907) 338-3550,muldoonpost@outlook.net,,,,,,,,false,true,true,false,true,true,true,Ernest L King Sr,60.0,3rd Tuesday of each month membership 7pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002002900L&@IP_IDENTITY_SCID=0
American Legion AK Post 0030,legion-post-0030-ak,local,Post 0030,legion,LEGION,world-war-1,World War I,AK,alaska,Fairbanks North Star Borough,fairbanks-north-star-borough,ak_02090,3614 Old Richardson Hwy,North Pole,99705,64.7527,-147.3543,true,(907) 490-6830,northpoleamericanlegionpost30@gmail.com,http://www.americanlegionconmillerpost30.com,,,,,,,false,true,true,false,true,true,true,John D Zook,50.0,Meetings 1st Tuesday of each month @ 7:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002003000L&@IP_IDENTITY_SCID=0
American Legion AK Post 0033,legion-post-0033-ak,local,Post 0033,legion,LEGION,world-war-1,World War I,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,21426 Old Glenn HWY,Chugiak,99567,61.4123,-149.4358,true,(907) 688-2354,chugiakpost33@gmail.com,https://www.post33.org,,,,,,,false,true,true,false,true,true,true,Alison Humphrey,60.0,Meetings 2nd & 4th Thursday of each month @ 6:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002003300L&@IP_IDENTITY_SCID=0
American Legion AK Post 0034,legion-post-0034-ak,local,Post 0034,legion,LEGION,world-war-1,World War I,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,1550 Charter Cir,Anchorage,99508,61.213366,-149.867221,true,,noreply@alaska-legion.org,https://www.americanlegionpost34.com,,,,,,,false,true,true,false,true,true,true,,55.0,Meetings 2nd Tuesday of each month @ 7:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002003400L&@IP_IDENTITY_SCID=0
American Legion AK Post 0035,legion-post-0035-ak,local,Post 0035,legion,LEGION,world-war-1,World War I,AK,alaska,Matanuska-Susitna Borough,matanuska-susitna-borough,ak_02170,4180 W Tweed Ct,Wasilla,99654,61.585255,-149.554884,true,(907) 376-3500,post35ak@mtaonline.net,,,,,,,,false,true,true,false,true,true,true,Jeffrey J Ketelsen,55.0,Meetings 1st & 3rd Tuesday each month @ 7:00 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002003500L&@IP_IDENTITY_SCID=0
American Legion AK Post 0057,legion-post-0057-ak,local,Post 0057,legion,LEGION,world-war-1,World War I,AK,alaska,Fairbanks North Star Borough,fairbanks-north-star-borough,ak_02090,1634 S Cushman St,Fairbanks,99701,64.83211,-147.716497,true,(907) 452-5757,amlegp57@yahoo.com,,,,,,,,false,true,true,false,true,true,true,Christopher M Bedel,60.0,Meetings 3rd Wednesday each month @ 6:30 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002005700L&@IP_IDENTITY_SCID=0
American Legion AK Post 0077,legion-post-0077-ak,local,Post 0077,legion,LEGION,world-war-1,World War I,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,1550 Charter Cir,Anchorage,99508,61.207379,-149.836748,true,(907) 278-8598,,https://www.alaskalegion.org,,,,,,,,,,,,,,,,,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00002007700L&@IP_IDENTITY_SCID=0
American Legion AL Post 0001,legion-post-0001-al,local,Post 0001,legion,LEGION,world-war-1,World War I,AL,alabama,Jefferson County,jefferson-county,al_01073,PO Box 1771,Birmingham,35201-1771,33.5273,-86.7986,true,(205) 451-3934,,,,,,,,,false,false,false,false,false,false,false,Bobby Walls,51.0,Meetings 1st & 3rd mondays of each month @ 6:30pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001000100L&@IP_IDENTITY_SCID=0
American Legion AL Post 0002,legion-post-0002-al,local,Post 0002,legion,LEGION,world-war-1,World War I,AL,alabama,Montgomery County,montgomery-county,al_01101,PO Box 240701,Montgomery,36124-0701,32.3472,-86.2674,true,(334) 546-1478,chuck.cochran1@yahoo.com,http://www.facebook.com/montgomerypost2/,,,,,,,false,false,false,false,false,false,false,Chuck Cochran,50.0,"Meets 2nd Monday monthly at 6:00 PM at the feast buffet, 5831 atlanta hwy, mongtomery",https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001000200L&@IP_IDENTITY_SCID=0
American Legion AL Post 0003,legion-post-0003-al,local,Post 0003,legion,LEGION,world-war-1,World War I,AL,alabama,Mobile County,mobile-county,al_01097,PO Box 40631,Mobile,36640-0631,30.667,-88.101,true,,,,,,,,,,false,false,false,false,false,false,false,Wayne E Sirmon,44.0,"Meetings 3rd Wednesday of each month @ 12:00pm held at 607 government st, mobile, al",https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001000300L&@IP_IDENTITY_SCID=0
American Legion AL Post 0004,legion-post-0004-al,local,Post 0004,legion,LEGION,world-war-1,World War I,AL,alabama,Winston County,winston-county,al_01133,181 Reid Rd,Cullman,35057,34.126518,-86.874869,true,,americanlegioncullman@gmail.com,,,,,,,,false,true,true,false,true,true,true,Scott J Bealer,55.0,Meetings 2nd Thursday of each month @ 6:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001000400L&@IP_IDENTITY_SCID=0
American Legion AL Post 0005,legion-post-0005-al,local,Post 0005,legion,LEGION,world-war-1,World War I,AL,alabama,Etowah County,etowah-county,al_01055,PO Box 1069,Montgomery,36101-1069,33.9006,-86.0306,true,,christy.jones@legional.org,,,,,,,,false,true,true,true,true,true,true,William B Sloan,45.0,Meetings 2nd Monday of each month @ 6:00 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001000500L&@IP_IDENTITY_SCID=0
American Legion AL Post 0006,legion-post-0006-al,local,Post 0006,legion,LEGION,world-war-1,World War I,AL,alabama,Chilton County,chilton-county,al_01021,355 Enterprise Rd,Clanton,35045,32.828221,-86.629784,true,(302) 399-4612,gilbert.eddy@hotmail.com,,,,,,,,false,false,false,false,false,false,false,Jerry A Grooms,47.0,Meetings 1st Monday of each month @ 6:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001000600L&@IP_IDENTITY_SCID=0
American Legion AL Post 0008,legion-post-0008-al,local,Post 0008,legion,LEGION,world-war-1,World War I,AL,alabama,Marshall County,marshall-county,al_01095,1900 Henry St,Guntersville,35976,34.34957,-86.308551,true,(256) 582-8323,guntersvillelegionpost8@gmail.com,https://legionpost8.freehostia.com,,,,,,,false,true,true,true,true,true,true,Doris C Kanaday-Jones,50.0,"Meetings 2nd Saturday of each month @ 10:00am held at 1900 henry st, guntersville, al 35976",https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001000800L&@IP_IDENTITY_SCID=0
American Legion AL Post 0009,legion-post-0009-al,local,Post 0009,legion,LEGION,world-war-1,World War I,AL,alabama,Walker County,walker-county,al_01127,PO Box 1204,Jasper,35502-1204,33.8513,-87.2717,true,(205) 435-5282,legion.post9.ala@gmail.com,https://www.woodssmithpost9.org,,,,,,,false,true,true,true,true,true,true,Edwin Harry Markham,56.0,Meetings 2nd Thursday of each month @ 6:30pm.,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001000900L&@IP_IDENTITY_SCID=0
American Legion AL Post 0010,legion-post-0010-al,local,Post 0010,legion,LEGION,world-war-1,World War I,AL,alabama,Sumter County,sumter-county,al_01119,26080 Hwy US 11 North,Epes,35460,32.559663,-88.097805,true,(205) 346-9336,campbellj0645@gmail.com,,,,,,,,false,true,true,false,true,true,true,Henry Williamson,44.0,Meetings 3rd Saturday of each month @ 11:00am,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001001000L&@IP_IDENTITY_SCID=0
American Legion AL Post 0011,legion-post-0011-al,local,Post 0011,legion,LEGION,world-war-1,World War I,AL,alabama,Lauderdale County,lauderdale-county,al_01077,PO Box 629,Florence,35631-0629,34.8301,-87.6655,true,(256) 764-5122,marydaysmith@yahoo.com,,,,,,,,false,true,true,false,true,true,true,Jeremy Cravens,60.0,Meetings last Thursday of each month @ 7:00pm november & december meeting is tba,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001001100L&@IP_IDENTITY_SCID=0
American Legion AL Post 0012,legion-post-0012-al,local,Post 0012,legion,LEGION,world-war-1,World War I,AL,alabama,Houston County,houston-county,al_01069,1426 Taylor Rd,Dothan,36301,31.2276,-85.3947,true,(334) 400-5356,dothanpost12@hotmail.com,http://aldothanpost12.com,,,,,,,false,true,true,true,true,true,true,Lehman Irby,60.0,Meetings 2nd Thursday of each month @ 6:30 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001001200L&@IP_IDENTITY_SCID=0
American Legion AL Post 0015,legion-post-0015-al,local,Post 0015,legion,LEGION,world-war-1,World War I,AL,alabama,Morgan County,morgan-county,al_01103,2607 Highway 31 S,Decatur,35603,34.558088,-86.973761,true,(256) 353-5501,info@allegionpost15.com,https://www.allegionpost15.com,,,,,,,false,true,true,true,true,true,true,William T King Jr,50.0,Meetings 4th Monday each month dinner - 6 PM; meeting - 7 PM on 2nd Monday in may and december,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001001500L&@IP_IDENTITY_SCID=0
American Legion AL Post 0016,legion-post-0016-al,local,Post 0016,legion,LEGION,world-war-1,World War I,AL,alabama,Perry County,perry-county,al_01105,1907.0,Marion,36756,32.609826,-87.331328,true,,,,,,,,,,,,,,,,,,,,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001001600L&@IP_IDENTITY_SCID=0
American Legion AL Post 0017,legion-post-0017-al,local,Post 0017,legion,LEGION,world-war-1,World War I,AL,alabama,Talladega County,talladega-county,al_01121,216 Welch Ave,Talladega,35160,33.466933,-86.080219,true,(205) 362-9870,tdegalegion17@gmail.com,,,,,,,,true,true,true,true,true,true,true,Joseph M Collins,46.0,Meetings 2nd Thursday of each month @ 7:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001001700L&@IP_IDENTITY_SCID=0
American Legion AL Post 0018,legion-post-0018-al,local,Post 0018,legion,LEGION,world-war-1,World War I,AL,alabama,Lee County,lee-county,al_01081,710 Westpoint Pkwy,Opelika,36801,32.6621,-85.377,true,(334) 749-9233,adjpost18@gmail.com,,,,,,,,false,true,true,false,true,true,true,George B Dowdy,50.0,Meetings 3rd Monday of each month @ 7:00pm cst,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001001800L&@IP_IDENTITY_SCID=0
American Legion AL Post 0019,legion-post-0019-al,local,Post 0019,legion,LEGION,world-war-1,World War I,AL,alabama,Randolph County,randolph-county,al_01111,109 Legion Rd,Heflin,36264,33.6403,-85.5898,true,,,,,,,,,,false,true,true,false,true,true,true,Edward L Taylor,46.0,Meetings 4th Thursday of each month @ 6:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001001900L&@IP_IDENTITY_SCID=0
American Legion AL Post 0020,legion-post-0020-al,local,Post 0020,legion,LEGION,world-war-1,World War I,AL,alabama,DALLAS,dallas,al_34309,PO Box 123,Selma,36702-0123,32.4164,-87.0333,true,(334) 327-8724,thomas.r.mackinpost20@gmail.com,https://www.americanlegionselmaal.org,,,,,,,false,false,false,false,false,false,false,David O Cox,50.0,Meetings 4th Monday of each month @ 5:30pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001002000L&@IP_IDENTITY_SCID=0
American Legion AL Post 0022,legion-post-0022-al,local,Post 0022,legion,LEGION,world-war-1,World War I,AL,alabama,Tuscaloosa County,tuscaloosa-county,al_01125,PO Box 549,Mc Calla,35111-0549,33.281,-87.0931,true,,adjutant22@att.net,https://www.facebook.com/groups/1283785281791699,,,,,,,false,true,true,true,true,true,true,Reginald J McClinton,50.0,Meetings 2nd Monday of each month @ 6:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001002200L&@IP_IDENTITY_SCID=0
American Legion AL Post 0023,legion-post-0023-al,local,Post 0023,legion,LEGION,world-war-1,World War I,AL,alabama,Jefferson County,jefferson-county,al_01073,315 S Main St,Heber City,84032,33.626105,-86.973235,true,(205) 396-8601,graysvillepost23@gmail.com,https://www.facebook.com/profile.php?id=100066709424610,,,,,,,false,true,true,true,true,true,true,Gerome Taylor,60.0,"Meetings 3rd Sunday of each month @ 4:00pm held at graysville library, 315 s main st, graysville, al 35073",https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001002300L&@IP_IDENTITY_SCID=0
American Legion AL Post 0024,legion-post-0024-al,local,Post 0024,legion,LEGION,world-war-1,World War I,AL,alabama,Crenshaw County,crenshaw-county,al_01041,100 American Legion Rd,Greenville,36037,31.8298,-86.6238,true,,jimmytanner99@yahoo.com,,,,,,,,true,false,false,false,false,false,false,Jimmy Tanner,50.0,Meetings 1st Thursday each month @ 6:00 PM,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001002400L&@IP_IDENTITY_SCID=0
American Legion AL Post 0025,legion-post-0025-al,local,Post 0025,legion,LEGION,world-war-1,World War I,AL,alabama,Lawrence County,lawrence-county,al_01079,10435 Coffee Rd,Moulton,35650,34.4819,-87.2865,true,,southnona@hotmail.com,https://www.facebook.com/americanlegionmoulton,,,,,,,false,true,true,true,true,true,true,Philip N Terry,50.0,Meetings 2nd Tuesday of each month @ 6:00pm,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001002500L&@IP_IDENTITY_SCID=0
American Legion AL Post 0026,legion-post-0026-al,local,Post 0026,legion,LEGION,world-war-1,World War I,AL,alabama,Calhoun County,calhoun-county,al_01015,4158.0,Anniston,36204,33.6877,-85.8245,true,(256)236-9314,,,,,,,,,,,,,,,,,,,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001002600L&@IP_IDENTITY_SCID=0
American Legion AL Post 0029,legion-post-0029-al,local,Post 0029,legion,LEGION,world-war-1,World War I,AL,alabama,Sumter County,sumter-county,al_01119,1256.0,Livingston,35470,32.5826,-88.189,true,,,,,,,,,,,,,,,,,,,,https://mylegion.org/PersonifyEbusiness/Post-Detail?@IP_IDENTITY_MCID=00001002900L&@IP_IDENTITY_SCID=0
