title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,founding_year,mission,tagline,donation_url
Air Force Aid Society,afas,hq,AFAS,,,world-war-2,World War II,VA,virginia,Arlington County,arlington-county,va_51013,Crystal Drive Suite 809,Arlington,22202,38.8535003,-77.0495106,true,703-972-2650,afas@afas-hq.org,https://afas.org/,https://www.facebook.com/pages/air-force-aid-society/140872665948476?ref=hl,https://www.instagram.com/afas_hq/,,https://www.youtube.com/user/afashq,,1942,To help relieve financial distress of Air Force members and their families.,,https://afas.org/donate
Air Force Sergeants Association,afsa,hq,AFSA,,,korean-war,Korean War,MD,maryland,Prince George's County,prince-georges-county,md_24033,5211 Auth Road,Suitland,20746,38.8226628,-76.9162967,true,(301) 899-3500,staff@hqafsa.org,https://www.hqafsa.org/,https://www.facebook.com/afsahq/,https://www.instagram.com/afsahq/?hl=en,,,https://www.linkedin.com/company/air-force-sergeants-association,1961,,,https://www.hqafsa.org/donate
"Alpha Omega Veterans Services, Inc.",alphaomegaveterans,hq,ALPHAOMEGAVETERANS,,,vietnam-war,Vietnam War,TN,tennessee,Shelby County,shelby-county,tn_47157,LIST 3114 Jackson Ave.,Memphis,38112,35.1628251,-89.9573666,true,901.726.6820,Info@alphaomegaveterans.org,https://www.alphaomegaveterans.org/,https://www.facebook.com/alphaomegaveterans,https://www.instagram.com/alphaomegaveterans/,,https://www.youtube.com/user/alphaomegavets,https://www.linkedin.com/company/4802995/,,To provide housing and comprehensive services to help homeless veterans achieve self-sufficiency.,,https://www.alphaomegaveterans.org/donate
America's VetDogs,vetdogs,hq,VETDOGS,,,war-on-terror,War on Terror,NY,new-york,Suffolk County,suffolk-county,ny_36103,371 East Jericho Turnpike,Smithtown,11787,40.8311558,-73.3959975,true,(631) 930-9000,info@vetdogs.org,https://www.vetdogs.org,,,,,,2003,To help those who have served our country honorably live with dignity and independence.,,https://www.vetdogs.org/donate
American Battlefield Trust,abt,hq,ABT,,,american-revolution,American Revolution,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,"1156 15th St NW, Suite 900",Washington,20005,38.9053762,-77.0349694,true,202-367-1861,,https://www.battlefields.org/,https://www.facebook.com/americanbattlefieldtrust,https://www.instagram.com/americanbattlefieldtrust/,http://www.x.com/battlefields,https://www.youtube.com/americanbattlefieldtrust,https://www.linkedin.com/company/americanbattlefieldtrust,1987,Preserve. Educate. Inspire.,,https://www.battlefields.org/donate
American Battleship Association,aba,hq,ABA,,,world-war-2,World War II,NC,north-carolina,Mecklenburg County,mecklenburg-county,nc_37119,President 1200 Somersby Lane,Matthews,28105,35.1047239,-80.7498801,true,(704) 604-1367,,http://www.ussiowa.org/,https://www.facebook.com/groups/95554688867/,,,,,,To preserve the history of American battleships and honor those who served aboard them.,,http://www.ussiowa.org/donate
American Corporate Partners,acp-usa,hq,ACP-USA,,,war-on-terror,War on Terror,NY,new-york,New York County,new-york-county,ny_36061,Street Floor 21 New,York,10017,40.7605396,-73.9774216,true,212-752-0700,info@acp-usa.org,https://www.acp-usa.org/,http://www.facebook.com/americancorporatepartners,https://www.instagram.com/acpvets,,http://www.youtube.com/user/acpviewpoints/videos,https://www.linkedin.com/company/american-corporate-partners,2008,"Veterans and Active-Duty Military Spouses paired with mentors from 1,800+ top organizations.",,https://www.acp-usa.org/donate
American Fighter Aces Association,americanfighteraces,hq,AMERICANFIGHTERACES,,,world-war-1,World War I,AR,arkansas,Grant County,grant-county,ar_05053,Contact 355 Herbert Drive,Hensley,72065,34.5476881,-92.3103205,true,,AmericanFighterAcesInfo@gmail.com,https://www.americanfighteraces.org/,https://www.facebook.com/groups/736262166917536,,,,,1960,To perpetuate the memory of American fighter aces and preserve their legacy.,,https://www.americanfighteraces.org/donate
American G.I. Forum of the U.S,agius,hq,AGIUS,,,world-war-2,World War II,CO,colorado,Denver County,denver-county,co_08031,"2870 North Speer Boulevard, Suite 125",Denver,80211,39.7580415,-105.0205427,true,1240395925,,https://en.wikipedia.org/wiki/American_Veterans_Committee,,,,,,1948,A New Non-Profit Veterans Organization Launched Today to Connect Veterans with Networking Opportunities,,https://en.wikipedia.org/wiki/American_Veterans_Committee/donate
American GI Forum – National Veterans Outreach Program,agif-nvop,hq,AGIF-NVOP,,,world-war-2,World War II,TX,texas,Bexar County,bexar-county,tx_48029,206 San Pedro San,Antonio,78205,29.4351549,-98.4951031,true,210-233-8505,,https://agif-nvop.org/,https://www.facebook.com/nationalveteranoutreachprogram/,https://www.instagram.com/nationalveteranoutreachprogram/,,https://www.youtube.com/@nationalveteransoutreachprogra,https://www.linkedin.com/company/american-gi-forum-national-veterans-outreach-program-inc/,1972,"The American GI Forum established the National Veterans Outreach Program (NVOP) in 1972 as a distinct organization dedicated to addressing the needs of all veterans, regardless of race, through community-based programs.",,https://agif-nvop.org/donate
"American Gold Star Mothers, Inc.",americangoldstarmothers,hq,AMERICANGOLDSTARMOTHERS,,,world-war-1,World War I,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,2128 Leroy Place NW,Place,20008,38.915268,-77.0477332,true,(202) 265-0991,info@americangoldstarmothers.org,https://www.americangoldstarmothers.org/,https://www.facebook.com/american-gold-star-mothers-national-official-108308072594520,https://www.instagram.com/agsm_national/,,,,1928,Standing in the Gap,,https://www.americangoldstarmothers.org/donate
American Heritage Museum,americanheritagemuseum,hq,AMERICANHERITAGEMUSEUM,,,american-revolution,American Revolution,MA,massachusetts,Middlesex County,middlesex-county,ma_25017,568 Main Street,Hudson,1749,42.3915236,-71.5049251,true,(978) 562-9182,admin@americanheritagemuseum.org,https://www.americanheritagemuseum.org/,https://www.facebook.com/americanheritagemuseum,https://www.instagram.com/americanheritagemuseum/,https://twitter.com/AHMuseum,,,,"Preserving America's Heritage, honoring those who served, Educating, and Inspiring Future Generations.",,https://www.americanheritagemuseum.org/donate
American Red Cross,redcross,hq,REDCROSS,,,spanish-american-war,Spanish–American War,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,Chesapeake Region Based on,Washington,20006,38.9010968,-77.0413344,true,800-567-1487,yourname@domain.com,https://www.redcross.org/,https://www.facebook.com/redcross,https://www.instagram.com/americanredcross/?hl=en,,,https://www.linkedin.com/company/american-red-cross/,1881,Prevents and alleviates human suffering in the face of emergencies by mobilizing the power of volunteers and the generosity of donors.,,https://www.redcross.org/donate
American Veterans,amvets,hq,AMVETS,,AMVETS,world-war-2,World War II,MD,maryland,Prince George's County,prince-georges-county,md_24033,3311 Hubbard RD,Hyattsville,20785,38.9315023,-76.8755956,true,(301) 459-9600,amvets@amvets.org,https://www.amvets.org/,https://www.facebook.com/AMVETSHQ,https://www.instagram.com/AMVETSHQ,https://www.twitter.com/AMVETSHQ,https://www.youtube.com/channel/UCT1oAzF-fioDYK9SnCp_UWA,https://www.linkedin.com/in/amvets-american-veterans-849901165/,1944,"To enhance and safeguard entitlements for all honorably served American Veterans and improve the quality of life for them, their families, and communities through leadership, advocacy, and services, focusing on veterans' benefits, community support, and preserving American democracy.",,https://www.amvets.org/donate
American Veterans Center,avc,hq,AVC,,,world-war-2,World War II,VA,virginia,Arlington County,arlington-county,va_51013,"1100 N. Glebe Road, Suite 910",ARLINGTON,22201,38.883444,-77.118044,true,703-302-1012,info@AmericanVeteransCenter.org,https://americanveteranscenter.org/,,,,,,2001,To honor and preserve the stories of America's veterans through education and events.,,https://americanveteranscenter.org/donate
American Veterans Service Organizations & Patriotic Societies,avsops-hq,hq,AVSOPS,,AVSOPS,gulf-war,Gulf War,VA,virginia,,,,"3682 King St., Suite 16025",Alexandria,22302-9998,,,false,(202) 844-6799,avsopsorg@gmail.com,https://avsops.com,,,,,,1992,"Connecting veterans, preserving their stories, and honoring their service through a comprehensive digital network.",,
America’s Warrior Partnership,awp,hq,AMERICASWARRIORPARTNERSHIP,,,war-on-terror,War on Terror,GA,georgia,Richmond County,richmond-county,ga_13245,Greene St Suite 135,Augusta,30901,33.473178,-81.9656343,true,,info@americaswarriorpartnership.org,https://www.americaswarriorpartnership.org/,https://www.facebook.com/awpartnership/,https://www.instagram.com/awpartnership/,,https://www.youtube.com/channel/ucgbjhbb4ygfcoik7plb4auw,https://www.linkedin.com/company/awp-community-integration/?viewasmember=true,2015,America's Warrior Partnership (AWP) is a nonprofit organization founded in 2015 to improve the quality of life for military veterans and their families by strengthening local communities and coordinating veteran support services.,,https://www.americaswarriorpartnership.org/donate
Archdiocese for the Military Services,milarch,hq,MILARCH,,,world-war-1,World War I,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,P.O. Box 4469,Washington,20017,38.9396261,-76.9902276,true,202-719-3600,,https://www.milarch.org/,https://www.facebook.com/milarchusa,https://instagram.com/milarchusa/,https://twitter.com/MilArchUSA,,https://www.linkedin.com/company/archdiocese-for-the-military-services-usa,1985,To provide Catholic ministry to those in military service.,,https://www.milarch.org/donate
Arizona Coalition for Military Families,arizonacoalition,hq,ARIZONACOALITION,,,war-on-terror,War on Terror,AZ,arizona,Maricopa County,maricopa-county,az_04013,Central Avenue Suite 720,Phoenix,85004,33.4645097,-112.0737037,true,800-273-8255,info@arizonacoalition.org,https://arizonacoalition.org/,https://www.facebook.com/arizonacoalition/,,,,,2009,"To connect Arizona's service members, veterans, and their families to the right resources at the right time through collective impact and community collaboration.",,https://arizonacoalition.org/donate
Armed Services Arts Partnership (ASAP),asapasap,hq,ASAPASAP,,,war-on-terror,War on Terror,VA,virginia,Alexandria city,alexandria-city,va_51510,Eisenhower Ave Floor 2,Alexandria,22314,38.8020091,-77.0766491,true,,hello@asapasap.org,https://asapasap.org/,https://facebook.com/armedservicesartspartnership,https://www.instagram.com/armedservicesartspartnership/,,https://www.youtube.com/c/armedservicesartspartnership,https://www.linkedin.com/company/10123607,,To use creative arts to support the well-being of veterans and military families.,,https://asapasap.org/donate
Armed Services YMCA,asymca,hq,ASYMCA,,asymca,civil-war,American Civil War,VA,virginia,Prince William County,prince-william-county,va_51153,"14040 Central Loop, Suite B",Woodbridge,22193,38.6481663,-77.3117927,true,(866) 427-9622,,https://asymca.org/,https://www.facebook.com/asymca/,,,https://www.youtube.com/asymca,https://www.linkedin.com/company/asymca-of-the-usa,1861,"Enhances the lives of military members and their families in spirit, mind, and body through programs relevant to the unique challenges of military life",,https://give.asymca.org/give/297112
Army Distaff Foundation,adf,hq,ADF,,,world-war-2,World War II,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,6200 Oregon Avenue NW,Washington,20015,38.9716644,-77.055367,true,(202) 541-0400,info@armydistaff.org,https://www.armydistaff.org,,,,,https://www.linkedin.com/company/army-distaff-foundation,1959,,,https://www.armydistaff.org/donate
Association of Military Surgeons of the United States,asmus,hq,ASMUS,,,spanish-american-war,Spanish–American War,MD,maryland,Montgomery County,montgomery-county,md_24031,9320 Old Georgetown Road,Bethesda,20814,39.0082309,-77.1137089,true,301-897-8800,,https://amsus.org/,,,,,,1891,To advance the practice of federal healthcare and support military medical professionals.,,https://amsus.org/donate
Association of the U.S. Army,ausa,hq,AUSA,,,world-war-2,World War II,VA,virginia,Arlington County,arlington-county,va_51013,2425 Wilson Boulevard,Arlington,22201,38.8908054,-77.0881445,true,855-246-6269,Membersupport@ausa.org,https://www.ausa.org/,https://www.facebook.com/ausa.org,https://www.instagram.com/ausaorg/,,https://www.youtube.com/user/ausanational,https://www.linkedin.com/company/ausaorg,1950,"To serve as the voice for all components of America's Army - soldiers, civilians, retirees, veterans, and family members.",,https://www.ausa.org/donate
Association of the United States Navy,ausn-2,hq,AUSN,,,war-on-terror,War on Terror,VA,virginia,Arlington County,arlington-county,va_51013,"2300 Wilson Blvd., Suite 200",Arlington,22201,38.8905986,-77.0870948,true,,,https://ausn.org/,,,,,,,"To support U.S. Navy service members, veterans, and their families through education, career development, and advocacy programs.",,https://ausn.org/donate
Aztec Club of 1847,aztecclub,hq,AztecClub,,aztecclub,mexican-american-war,Mexican–American War,LA,louisiana,Orleans Parish,orleans-parish,la_22071,1036 Webster Street,New Orleans,70118,29.934,-90.115,true,,,https://www.aztecclub.com,,,,,,1847,To preserve the history and camaraderie of the officers who served in the Mexican-American War and to honor their legacy.,,
Bastion Community of Resilience,joinbastion,hq,JOINBASTION,,,war-on-terror,War on Terror,LA,louisiana,Orleans Parish,orleans-parish,la_22071,Mirabeau Avenue New Orleans,New Orleans,70122,30.007847,-90.0669015,true,888-737-5577,info@joinbastion.org,https://www.joinbastion.org/,https://facebook.com/bastioncommunity,https://instagram.com/bastioncommunity,,https://www.youtube.com/channel/uc8mv4qobuzq6ipexxk-g8jg,https://www.linkedin.com/company/bastion-community-of-resilience/,,"To support veterans through peer support, community, and comprehensive services that promote resilience and well-being.",,https://www.joinbastion.org/donate
Blue Star Families,bluestarfam,hq,BLUESTARFAM,,,war-on-terror,War on Terror,CA,california,San Diego County,san-diego-county,ca_06073,441 Saxony The Hive/Barn 2,Encinitas,92024,33.0560503,-117.2834447,true,(202) 630-2583,info@bluestarfam.org,https://bluestarfam.org/,https://www.facebook.com/bluestarfamilies,https://www.instagram.com/bluestarfamilies/,,https://www.youtube.com/channel/ucpsrgtkh70wouhqks-9m3zq,https://www.linkedin.com/company/1431100/,2009,"To empower military families to thrive by connecting them with their civilian neighbors, both people and organizations, to create strong communities of support.",,https://bluestarfam.org/donate
Blue Star Mothers of America,bluestarmothers,hq,BLUESTARMOTHERS,,,world-war-2,World War II,FL,florida,St. Lucie County,st-lucie-county,fl_12111,Box 880891 Port St.,Lucie,34988,27.317461,-80.4071052,true,703-828-3907,president@bluestarmothers.us,https://www.bluestarmothers.org,https://www.facebook.com/bluestarmothersofamericainc/,,,,,1942,"To support each other and our children while they serve, promote patriotism, and assist veterans organizations.",,https://www.bluestarmothers.org/donate
Bob Woodruff Foundation - Got Your 6,bobwoodrufffoundation,hq,BOBWOODRUFFFOUNDATION,,,war-on-terror,War on Terror,NY,new-york,Queens County,queens-county,ny_36081,4628 Vernon Boulevard #531,Long Island City,11101,40.7461232,-73.9531976,true,,grants@bobwoodrufffoundation.org,https://bobwoodrufffoundation.org/,https://www.facebook.com/BobWoodruffFoundation/,https://www.instagram.com/bwforg/?hl=en,https://twitter.com/bwforg,https://www.youtube.com/@bobwoodrufffoundation,https://www.linkedin.com/company/bob-woodruff-foundation/,2006,"To stand for the people who stood for us by raising awareness about the challenges veterans and military families face, and investing in solutions to help support them in the next chapter of their lives.",,https://bobwoodrufffoundation.org/donate
Buffalo Soldiers,bsawp,hq,BSAWP,,,spanish-american-war,Spanish–American War,NY,new-york,Orange County,orange-county,ny_36071,6 West Street Highland,Falls,10928,41.3720183,-73.9700309,true,,Correspondence@buffalosoldiersofwestpoint.org,https://buffalosoldiersofwestpoint.org/,https://www.facebook.com/buffalo-soldiers-association-of-west-point-1747256818840784/?ref=aymt_homepage_panel,,https://twitter.com/BSAWPMonument,https://www.youtube.com/watch?v=msekksxqykq,,,"We Can, We Will",,https://buffalosoldiersofwestpoint.org/donate
"Camp Alliance, Inc",campallianceinc,hq,CAMPALLIANCEINC,,,war-on-terror,War on Terror,AR,arkansas,Benton County,benton-county,ar_05007,Sunset Ave. Ste B,Springdale,72762,36.1753093,-94.1839711,true,,info@campallianceinc.org,https://www.campallianceinc.org/,https://www.facebook.com/campallianceinc/,https://www.instagram.com/campallianceinc/,,,https://www.linkedin.com/company/camp-alliance-inc/about/,,To support veterans through outdoor adventure and community.,,https://www.campallianceinc.org/donate
Camp Corral,campcorral,hq,CAMPCORRAL,,,war-on-terror,War on Terror,NC,north-carolina,Johnston County,johnston-county,nc_37101,801 North West Street,Raleigh,27603,35.7900096,-78.6451486,true,(855) 605-1267,campinfo@campcorral.org,https://www.campcorral.org/,https://www.facebook.com/campcorral,https://www.instagram.com/campcorral/,,https://www.youtube.com/channel/ucra9huoivu6a5aqiuuqotpg,https://www.linkedin.com/company/camp-corral/,2011,"To transform the lives of children of wounded, ill, and fallen military heroes by providing camp, advocacy, and enrichment programs.",,https://www.campcorral.org/donate
Camp SHiEld,campshield,hq,CAMPSHIELD,,,war-on-terror,War on Terror,TX,texas,Harris County,harris-county,tx_48201,Center 2929 McKinney St,Houston,77003,29.7471343,-95.3481915,true,,info@campshield.org,https://www.campshield.org/,https://www.facebook.com/campshield.org,https://www.instagram.com/camp_shield/,,https://www.youtube.com/channel/ucyix6uw9r-edfgagq0mnwmw,https://www.linkedin.com/company/76766089/,,To support military children through therapeutic camping experiences.,,https://www.campshield.org/donate
Cape and Islands Veterans Outreach Center,capeveterans,hq,CAPEVETERANS,,,vietnam-war,Vietnam War,MA,massachusetts,Barnstable County,barnstable-county,ma_25001,Stevens Street Suite E,Hyannis,2601,41.65314,-70.2914482,true,(508) 778-1590,info@capeveterans.com,https://capeveterans.com/,https://www.facebook.com/veteransoutreachcentercapeandislands,https://www.instagram.com/capeveteransoutreachcenter/,,,https://www.linkedin.com/company/cape-and-islands-veterans-outreach-center/,,To serve veterans in the Cape Cod and Islands area with comprehensive support services.,,https://capeveterans.com/donate
"Children of the American Revolution, National Society",nscar,hq,NSCAR,,,american-revolution,American Revolution,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,1776 D St NW Room 224,Washington,20006,38.8941743,-77.0408523,true,,,https://www.nscar.org/,,,,,,1895,For God and My Country,,https://www.nscar.org/donate
"Clear Path for Veterans, Inc.",clearpath4vets,hq,CLEARPATH4VETS,,,war-on-terror,War on Terror,NY,new-york,Madison County,madison-county,ny_36053,1223 Salt Springs Rd.,Chittenango,13037,43.0414009,-75.9134072,true,315.687.3300,,https://www.clearpath4vets.com/,https://www.facebook.com/clearpathforveterans,https://www.instagram.com/clearpath4vets,,https://www.youtube.com/channel/ucpvodnhqxmzzpmp-yjc_ytq,,2009,To help veterans and their families navigate life's challenges through community connection and comprehensive support.,,https://www.clearpath4vets.com/donate
Coast Guard Mutual Assistance,mycgma,hq,MYCGMA,,,world-war-1,World War I,VA,virginia,Arlington County,arlington-county,va_51013,Glebe Road Suite 220,Arlington,22201,38.8852068,-77.1171884,true,800-881-2462,CGMA@mycgma.org,https://mycgma.org/,https://www.facebook.com/cgmutualassist/,https://www.instagram.com/mycgma/,,https://www.youtube.com/channel/uci1fa127fo0qje9avai-jtw,https://www.linkedin.com/company/cgmutualassist/,1924,To provide financial assistance and education loans to Coast Guard members and families.,,https://mycgma.org/donate
Code of Support Foundation,codeofsupport,hq,CODEOFSUPPORT,,,war-on-terror,War on Terror,VA,virginia,Fairfax County,fairfax-county,va_51059,"8000 Towers Crescent Drive, Suite 1000",Vienna,22182,38.9145881,-77.2196467,true,703-486-0006,,https://www.codeofsupport.org/,,,,,,2010,To help bridge the gap between veterans in need and available resources.,,https://www.codeofsupport.org/donate
Cohen Veterans Bio Science,cohenveteransbioscience,hq,COHENVETERANSBIOSCIENCE,,,war-on-terror,War on Terror,NY,new-york,New York County,new-york-county,ny_36061,Ave 12th floor New,York,10018,40.6039156,-73.9533691,true,(646) 970-4325,info@cohenbio.org,https://www.cohenveteransbioscience.org/,https://www.facebook.com/cohenbioscience,https://www.instagram.com/cohenbioscience/,,https://www.youtube.com/channel/uc8gsedueqkoerioeagxqcxg,https://www.linkedin.com/company/cohen-veterans-bioscience/,2016,To fast-track precision diagnostics and treatments for brain health conditions affecting veterans.,,https://www.cohenveteransbioscience.org/donate
Cohen Veterans Network,cohenveteransnetwork,hq,COHENVETERANSNETWORK,,,war-on-terror,War on Terror,NY,new-york,New York County,new-york-county,ny_36061,"55 West 26th Street, 9th Floor",New York,10010,40.7450081,-73.9908838,true,833-275-9286,info@cohenveteransnetwork.org,https://www.cohenveteransnetwork.org/,,,,,,2016,To improve the mental health of post-9/11 veterans and their families by removing barriers to care and serving as a model for mental health care.,,https://www.cohenveteransnetwork.org/donate
"Colonial Dames XVII Century, The National Society",nscdxvii,hq,NSCDXVII,,,american-revolution,American Revolution,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,"1300 New Hampshire Avenue, NW",Washington,20036,38.9074433,-77.045833,true,(202) 293-1700,,http://www.colonialdames17c.org/,,,,,,1915,"Tying It All Together in Service and Friendship, Look to the Past to Build the Future.",,https://colonialdames17c.org/donate/
Congressional Medal of Honor Society of The United States of America,cmohs,hq,CMOHS,,,civil-war,American Civil War,SC,south-carolina,Charleston County,charleston-county,sc_45019,40 Patriots Point Road,Mount Pleasant,29464,32.7905311,-79.9056145,true,843.884.8862,mohcomms@cmohs.org,https://www.cmohs.org/,https://www.facebook.com/cmohsociety/,https://www.instagram.com/cmohsociety/,,https://www.youtube.com/@cmohsociety,https://www.linkedin.com/company/medalofhonorsociety/,1958,"To preserve the legacy of the Medal of Honor, promote patriotism, and inspire others to live by the values it represents.",,https://www.cmohs.org/donate
Dale K Graham Veterans Foundation,dalekgrahamveteransfoundation,hq,DALEKGRAHAMVETERANSFOUNDATION,,,vietnam-war,Vietnam War,OK,oklahoma,Cleveland County,cleveland-county,ok_40027,1233 W Lindsey St.,Norman,73069,35.2046163,-97.4603727,true,405-550-8806,info@dalekgrahamveteransfoundation.org,https://www.dalekgrahamveteransfoundation.org/,https://www.facebook.com/dalekgrahamveteransfoundation,https://www.instagram.com/dkgveteransfoundation/,,https://www.youtube.com/@accreditedvso,https://www.linkedin.com/company/dale-k-graham-veterans-foundation/,2004,To help veterans and surviving spouses understand and receive all the benefits they have earned through military service.,,https://www.dalekgrahamveteransfoundation.org/donate
Dames of the Loyal Legion of the United States of America,dllusa,hq,DLLUSA,,dllusa,civil-war,American Civil War,PA,pennsylvania,Philadelphia County,philadelphia-county,pa_42101,,Philadelphia,,,,false,,,https://dollus.org/,https://www.facebook.com/search/top/?q=dames%20of%20the%20loyal%20legion%20of%20the%20united%20states,,,,,1899,"To perpetuate the memory of the Union officers of the Civil War, foster patriotism, and protect American rights and liberties.",,
"Daughters of Colonial Wars, The National Society",nsdcw,hq,NSDCW,,,american-revolution,American Revolution,PA,pennsylvania,Allegheny County,allegheny-county,pa_42003,1509 Montgomery Road,Allison Park,15101,40.5870795,-80.0058261,true,,,https://www.nsdcw.org/,,,,,,1927,"To honor and perpetuate the memory and spirit of the men and women who, by their acts and counsel, assisted in the establishment, defense and preservation of the American Colonies.",,https://www.nsdcw.org/donate
"Daughters of the American Revolution, National Society",nsdar,hq,NSDAR,,NSDAR,american-revolution,American Revolution,DC,district-of-columbia,USA,usa,,1776 D Street NW,Washington,20006,38.8939852,-77.0400112,true,(202) 879-3224,development@dar.org,http://www.dar.org/,https://www.facebook.com/TodaysDAR,https://www.instagram.com/explore/tags/nsdar/,https://www.twitter.com/TodaysDAR,http://www.youtube.com/TodaysDAR,,1890,"God, Home, and Country",,https://dar.org/donate
