title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,meeting_time,meeting_place
DAV Chapter 14 - Tuskegee #14,dav-chapter-14-al,local,Chapter 14,dav,DAV,world-war-1,World War I,AL,alabama,Macon County,macon-county,al_01087,Hwy 80 W Soujourner,Tuskegee,36083,32.4157239,-85.701417,true,334-727-1057,,http://www.davmembersportal.org/chapters/AL/14,,,,,,14,"2nd Sunday, 4:00 PM","Hwy 80 W Soujourner, Tuskegee, AL 36083"
DAV Chapter 18 - Frank L Bradford #18,dav-chapter-18-al,local,Chapter 18,dav,DAV,world-war-1,World War I,AL,alabama,Marshall County,marshall-county,al_01095,19272 Al Hwy 431,Guntersville,35976,,,false,256-975-4924,,http://www.davmembersportal.org/chapters/AL/18,,,,,,18,"1st Monday, 6:00 PM",1101 Sunset Dr
DAV Chapter 26 - Huntsville #26,dav-chapter-26-al,local,Chapter 26,dav,DAV,world-war-1,World War I,AL,alabama,Madison County,madison-county,al_01089,3077 Leeman Ferry Rd Ste B2,Huntsville,35801,34.6999152,-86.6041089,true,256-203-2680,,http://www.davmembersportal.org/chapters/AL/26,,,,,,26,"2nd Saturday, 10:00 AM","3077 Leeman Ferry Rd Ste B2, Huntsville, AL 35801"
DAV Chapter 27 - A L Mclaughlin #27,dav-chapter-27-al,local,Chapter 27,dav,DAV,world-war-1,World War I,AL,alabama,St. Clair County,st-clair-county,al_01115,405 19th St South,Pell City,35125,33.5834785,-86.2844477,true,205-410-9092,,http://www.davmembersportal.org/chapters/AL/27,,,,,,27,"3rd Tuesday, 6:00 PM","405 19th St South, Pell City, AL 35125"
DAV Chapter 28 - Blount County #28,dav-chapter-28-al,local,Chapter 28,dav,DAV,world-war-1,World War I,AL,alabama,St. Clair County,st-clair-county,al_01115,300 6th Street S,Oneonta,35121,33.9481537,-86.472764,true,205-681-2352,,http://www.davmembersportal.org/chapters/AL/28,,,,,,28,"1st Saturday, 8:00 AM","300 6th Street S, Oneonta, AL 35121"
DAV Chapter 31 - Marengo County #31,dav-chapter-31-al,local,Chapter 31,dav,DAV,world-war-1,World War I,AL,alabama,Marengo County,marengo-county,al_01091,Bryan W Whitfield Mem Hospital Highway 80,Demopolis,36732,,,false,334-289-1251,,http://www.davmembersportal.org/chapters/AL/31,,,,,,31,"4th Thursday, 6:00 PM","Bryan W Whitfield Mem Hospital Highway 80, Demopolis, AL 36732"
DAV Chapter 33 - Chilton County #33,dav-chapter-33-al,local,Chapter 33,dav,DAV,world-war-1,World War I,AL,alabama,Chilton County,chilton-county,al_01021,304 Park Plaza,Clanton,35045,,,false,205-706-4219,,http://www.davmembersportal.org/chapters/AL/33,,,,,,33,"2nd Saturday, 11:00 AM","304 Park Plaza, Clanton, AL 35045"
DAV Chapter 35 - Leo Dubose #35,dav-chapter-35-al,local,Chapter 35,dav,DAV,world-war-1,World War I,AL,alabama,Mobile County,mobile-county,al_01097,716 Mae St,Saraland,36571,30.8070381,-88.09284799999999,true,251-433-2411,,http://www.davmembersportal.org/chapters/AL/35,,,,,,35,"3rd Saturday, 10:00 am","716 Mae St, Saraland, AL 36571"
DAV Chapter 45 - Arnold Byers #45,dav-chapter-45-al,local,Chapter 45,dav,DAV,world-war-1,World War I,AL,alabama,Baldwin County,baldwin-county,al_01003,4198 Municipal Park Dr,Loxley,36551,,,false,251-607-0261,,http://www.davmembersportal.org/chapters/AL/45,,,,,,45,"1st Tuesday, 8:00 AM","4198 Municipal Park Dr, Loxley, AL 36551"
DAV Chapter 51 - James L Daniels #51,dav-chapter-51-al,local,Chapter 51,dav,DAV,world-war-1,World War I,AL,alabama,Limestone County,limestone-county,al_01083,25396 Airport Rd,Athens,35611,34.8059683,-86.9667364,true,256-444-1245,,http://www.davmembersportal.org/chapters/AL/51,,,,,,51,"2nd Tuesday, 7:00 PM","25396 Airport Rd, Athens, AL 35611"
DAV Chapter 61 - Wm H Vest #61,dav-chapter-61-al,local,Chapter 61,dav,DAV,world-war-1,World War I,AL,alabama,Perry County,perry-county,al_01105,1100 Kings Bend Rd,Selma,36701,32.3949462,-87.0289895,true,334-875-5961,,http://www.davmembersportal.org/chapters/AL/61,,,,,,61,"2nd Monday, 6:00 PM","1100 Kings Bend Rd, Selma, AL 36701"
DAV Chapter 63 - Muscle Shoals #63,dav-chapter-63-al,local,Chapter 63,dav,DAV,world-war-1,World War I,AL,alabama,Colbert County,colbert-county,al_01033,1409 W 11th St,Sheffield,35660,,,false,256-381-8229,,http://www.davmembersportal.org/chapters/AL/63,,,,,,63,"4th Tuesday, 7:00 PM","1409 W 11th St, Sheffield, AL 35660"
DAV Chapter 66 - R Geo Isaacs Jr #66,dav-chapter-66-al,local,Chapter 66,dav,DAV,world-war-1,World War I,AL,alabama,Russell County,russell-county,al_01113,1407 28th Ave,Phenix City,36867,32.4736009,-85.033656,true,334-448-2454,,http://www.davmembersportal.org/chapters/AL/66,,,,,,66,"1st Tuesday, 7:00 PM","1407 28th Ave, Phenix City, AL 36867"
DAV Chapter 72 - Andrew G Faulk #72,dav-chapter-72-al,local,Chapter 72,dav,DAV,world-war-1,World War I,AL,alabama,Monroe County,monroe-county,al_01099,112 Perryman St,Evergreen,36401,,,false,251-227-1290,,http://www.davmembersportal.org/chapters/AL/72,,,,,,72,"2nd Saturday, 9:00 AM","112 Perryman St, Evergreen, AL 36401"
DAV Chapter 78 - Geo Wash Carver #78,dav-chapter-78-al,local,Chapter 78,dav,DAV,world-war-1,World War I,AL,alabama,Talladega County,talladega-county,al_01121,309 Martin Luther King Dr,Talladega,35160,,,false,256-362-0115,,http://www.davmembersportal.org/chapters/AL/78,,,,,,78,"1st Tuesday, 5:30 PM","309 Martin Luther King Dr, Talladega, AL 35160"
DAV Chapter 87 - Dothan #87,dav-chapter-87-al,local,Chapter 87,dav,DAV,world-war-1,World War I,AL,alabama,Houston County,houston-county,al_01069,301 West Lafayette St.,Dothan,36301,,,false,334-836-0217,,http://www.davmembersportal.org/chapters/AL/87,,,,,,87,"3rd Thursday, 7:00 PM","301 West Lafayette St., Dothan, AL 36301"
DAV Chapter 94 - Ozark #94,dav-chapter-94-al,local,Chapter 94,dav,DAV,world-war-1,World War I,AL,alabama,Dale County,dale-county,al_01045,221 William Drive,Ozark,36360,,,false,334-445-0925,,http://www.davmembersportal.org/chapters/AL/94,,,,,,94,"2nd Tuesday, 7:00 PM","221 William Drive, Ozark, AL 36360"
DAV Chapter 95 - Twin Cities #95,dav-chapter-95-al,local,Chapter 95,dav,DAV,world-war-1,World War I,AL,alabama,Macon County,macon-county,al_01087,2150 Bent Creek Rd,Auburn,36830,,,false,334-332-5849,,http://www.davmembersportal.org/chapters/AL/95,,,,,,95,"3rd Tuesday, 6:30 PM","2150 Bent Creek Rd, Auburn, AL 36830"
DAV Chapter 98 - Anniston-Oxford #98,dav-chapter-98-al,local,Chapter 98,dav,DAV,world-war-1,World War I,AL,alabama,Calhoun County,calhoun-county,al_01015,1810 Noble St,Anniston,36201,,,false,256-405-4359,,http://www.davmembersportal.org/chapters/AL/98,,,,,,98,"2nd Tuesday, 6:30 PM","1810 Noble St, Anniston, AL 36201"
DAV Chapter 99 - Wire Grass #99,dav-chapter-99-al,local,Chapter 99,dav,DAV,world-war-1,World War I,AL,alabama,Coffee County,coffee-county,al_01031,130 Vester Cole St,New Brockton,36351,33.3673343,-87.1036067,true,334-718-5707,,http://www.davmembersportal.org/chapters/AL/99,,,,,,99,"4th Thursday, 7:00 PM","130 Vester Cole St, New Brockton, AL 36351"
DAV Chapter 1 - Ft Smith #1,dav-chapter-1-ar,local,Chapter 1,dav,DAV,world-war-1,World War I,AR,arkansas,Sebastian County,sebastian-county,ar_05131,12912 Tuscany St,Fort Smith,72916,,,false,479-646-0928,,http://www.davmembersportal.org/chapters/AR/01,,,,,,1,"4th Monday, 7:00 PM","12912 Tuscany St, Fort Smith, AR 72916"
DAV Chapter 5 - James L Whitby #5,dav-chapter-5-ar,local,Chapter 5,dav,DAV,world-war-1,World War I,AR,arkansas,Hot Spring County,hot-spring-county,ar_05059,2278 Albert Pike Rd,Hot Springs,71913,,,false,501-760-4648,,http://www.davmembersportal.org/chapters/AR/05,,,,,,5,"3rd Tuesday, 11:00 AM","2278 Albert Pike Rd, Hot Springs, AR 71913"
DAV Chapter 6 - Boone Co #6,dav-chapter-6-ar,local,Chapter 6,dav,DAV,world-war-1,World War I,AR,arkansas,Newton County,newton-county,ar_05101,905 Highway 62-65 N,Harrison,72601,36.254284,-93.121389,true,870-437-2202,,http://www.davmembersportal.org/chapters/AR/06,,,,,,6,"3rd Tuesday, 12:00 PM","905 Highway 62-65 N, Harrison, AR 72601"
DAV Chapter 7 - Greater Little Rock #7,dav-chapter-7-ar,local,Chapter 7,dav,DAV,world-war-1,World War I,AR,arkansas,Pulaski County,pulaski-county,ar_05119,5001 Warden Rd,Little Rock,72116,34.7979948,-92.2196924,true,501-241-2095,,http://www.davmembersportal.org/chapters/AR/07,,,,,,7,"3rd Friday, 12:00 PM","5001 Warden Rd, Little Rock, AR 72116"
DAV Chapter 10 - John H Dunn #10,dav-chapter-10-ar,local,Chapter 10,dav,DAV,world-war-1,World War I,AR,arkansas,Perry County,perry-county,ar_05105,1490 S Donaghey Ave,Conway,72034,,,false,870-582-1852,,http://www.davmembersportal.org/chapters/AR/10,,,,,,10,"2nd Monday, 7:00 PM","1490 S Donaghey Ave, Conway, AR 72034"
DAV Chapter 12 - Pine Bluff #12,dav-chapter-12-ar,local,Chapter 12,dav,DAV,world-war-1,World War I,AR,arkansas,Jefferson County,jefferson-county,ar_05069,114 South State Street,Pine Bluff,71611,34.2715181,-92.0894498,true,870-718-4737,,http://www.davmembersportal.org/chapters/AR/12,,,,,,12,"1st Friday, 7:00 PM","114 South State Street, Pine Bluff, AR 71611"
DAV Chapter 13 - Morrilton #13,dav-chapter-13-ar,local,Chapter 13,dav,DAV,world-war-1,World War I,AR,arkansas,Conway County,conway-county,ar_05029,300 N Bentley St,Morrilton,72110,,,false,501-208-3467,,http://www.davmembersportal.org/chapters/AR/13,,,,,,13,"1st Thursday, 10:00 AM","300 N Bentley St, Morrilton, AR 72110"
DAV Chapter 16 - Springdale #16,dav-chapter-16-ar,local,Chapter 16,dav,DAV,world-war-1,World War I,AR,arkansas,Washington County,washington-county,ar_05143,2605 W Pleasant Crossing Dr,Rogers,72753,,,false,479-750-7527,,http://www.davmembersportal.org/chapters/AR/16,,,,,,16,"4th Tuesday, 6:30 PM","2605 W Pleasant Crossing Dr, Rogers, AR 72753"
DAV Chapter 26 - Jonesboro #26,dav-chapter-26-ar,local,Chapter 26,dav,DAV,world-war-1,World War I,AR,arkansas,Greene County,greene-county,ar_05055,1921 Aggie Rd,Jonesboro,72401,,,false,870-219-7536,,http://www.davmembersportal.org/chapters/AR/26,,,,,,26,"3rd Saturday, 10:00 AM","1921 Aggie Rd, Jonesboro, AR 72401"
DAV Chapter 27 - Simpson Turner #27,dav-chapter-27-ar,local,Chapter 27,dav,DAV,world-war-1,World War I,AR,arkansas,Pope County,pope-county,ar_05115,206 South Pittsburgh Ave,Russellville,72801,,,false,479-567-5450,,http://www.davmembersportal.org/chapters/AR/27,,,,,,27,"3rd Monday, 7:00 PM","206 South Pittsburgh Ave, Russellville, AR 72801"
DAV Chapter 30 - Twin Lakes #30,dav-chapter-30-ar,local,Chapter 30,dav,DAV,world-war-1,World War I,AR,arkansas,Marion County,marion-county,ar_05089,650 South Street,Mountain Home,72653,,,false,870-425-2929,,http://www.davmembersportal.org/chapters/AR/30,,,,,,30,"3rd Monday, 2:30 PM","650 South Street, Mountain Home, AR 72653"
DAV Chapter 39 - The Paris #39,dav-chapter-39-ar,local,Chapter 39,dav,DAV,world-war-1,World War I,AR,arkansas,Logan County,logan-county,ar_05083,23 W Main St,Paris,72855,,,false,479-963-8001,,http://www.davmembersportal.org/chapters/AR/39,,,,,,39,"3rd Thursday, 6:30 PM","23 W Main St, Paris, AR 72855"
DAV Chapter 41 - White County #41,dav-chapter-41-ar,local,Chapter 41,dav,DAV,world-war-1,World War I,AR,arkansas,White County,white-county,ar_05145,801 S Elm St,Searcy,72143,,,false,501-882-3427,,http://www.davmembersportal.org/chapters/AR/41,,,,,,41,"1st Monday, 6:00 PM","801 S Elm St, Searcy, AR 72143"
DAV Chapter 46 - Ouachita #46,dav-chapter-46-ar,local,Chapter 46,dav,DAV,world-war-1,World War I,AR,arkansas,Scott County,scott-county,ar_05127,3253 Hwy 71 N,Mena,71953,,,false,479-216-5944,,http://www.davmembersportal.org/chapters/AR/46,,,,,,46,"1st Thursday, 7:00 PM","3253 Hwy 71 N, Mena, AR 71953"
DAV Chapter 47 - El Dorado #47,dav-chapter-47-ar,local,Chapter 47,dav,DAV,world-war-1,World War I,AR,arkansas,Union County,union-county,ar_05139,810 N Newton Avenue,El Dorado,71730,,,false,870-962-3406,,http://www.davmembersportal.org/chapters/AR/47,,,,,,47,"2nd Saturday, 10:00 AM","810 N Newton Avenue, El Dorado, AR 71730"
DAV Chapter 56 - Grant County #56,dav-chapter-56-ar,local,Chapter 56,dav,DAV,world-war-1,World War I,AR,arkansas,Jefferson County,jefferson-county,ar_05069,1527 HWY 270 E,Sheridan,72150,34.3088612,-92.380369,true,870-942-7575,,http://www.davmembersportal.org/chapters/AR/56,,,,,,56,"3rd Monday, 6:00 PM","1527 HWY 270 E, Sheridan, AR 72150"
DAV Chapter 57 - G P Houston Mem #57,dav-chapter-57-ar,local,Chapter 57,dav,DAV,world-war-1,World War I,AR,arkansas,Cleburne County,cleburne-county,ar_05023,714 W Scott St,Heber Springs,72543,,,false,501-362-4030,,http://www.davmembersportal.org/chapters/AR/57,,,,,,57,"1st Thursday, 10:00 AM","714 W Scott St, Heber Springs, AR 72543"
DAV Chapter 1 - Phoenix #1,dav-chapter-1-az,local,Chapter 1,dav,DAV,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,38 W Dunlap Ave Bldg #34,Phoenix,85021,,,false,602-249-0425,,http://www.davmembersportal.org/chapters/AZ/01,,,,,,1,"2nd Wednesday, 6:00 PM","38 W Dunlap Ave Bldg #34, Phoenix, AZ 85021"
DAV Chapter 4 - Tucson #4,dav-chapter-4-az,local,Chapter 4,dav,DAV,world-war-1,World War I,AZ,arizona,Pima County,pima-county,az_04019,6865 N Thornydale Rd,Tucson,85741,32.3314083,-111.046944,true,520-791-9067,,http://www.davmembersportal.org/chapters/AZ/04,,,,,,4,"3rd Saturday, 10:30 AM","6865 N Thornydale Rd, Tucson, AZ 85741"
DAV Chapter 8 - East Valley #8,dav-chapter-8-az,local,Chapter 8,dav,DAV,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,161 N. Mesa Dr.,Mesa,85201,,,false,480-890-2424,,http://www.davmembersportal.org/chapters/AZ/08,,,,,,8,"2nd Thursday, 6:30 pm","161 N. Mesa Dr., Mesa, AZ 85201"
DAV Chapter 11 - Louis Levy #11,dav-chapter-11-az,local,Chapter 11,dav,DAV,world-war-1,World War I,AZ,arizona,Yuma County,yuma-county,az_04027,954 S 13th Ave,Yuma,85364,,,false,928-783-6661,,http://www.davmembersportal.org/chapters/AZ/11,,,,,,11,"2nd Monday, 6:00 PM","954 S 13th Ave, Yuma, AZ 85364"
DAV Chapter 14 - Fry #14,dav-chapter-14-az,local,Chapter 14,dav,DAV,world-war-1,World War I,AZ,arizona,Cochise County,cochise-county,az_04003,2600 E Wilcox Dr,Sierra Vista,85635,,,false,520-458-0307,,http://www.davmembersportal.org/chapters/AZ/14,,,,,,14,"4th Saturday, 1:00 PM","2600 E Wilcox Dr, Sierra Vista, AZ 85635"
DAV Chapter 16 - Prescott #16,dav-chapter-16-az,local,Chapter 16,dav,DAV,world-war-1,World War I,AZ,arizona,Yavapai County,yavapai-county,az_04025,726 W Gurley St,Prescott,86305,34.54679300000001,-112.4574199,true,928-445-4525,,http://www.davmembersportal.org/chapters/AZ/16,,,,,,16,"2nd Tuesday, 11:00 AM","726 W Gurley St, Prescott, AZ 86305"
DAV Chapter 18 - Rincon Renegades #18,dav-chapter-18-az,local,Chapter 18,dav,DAV,world-war-1,World War I,AZ,arizona,Pima County,pima-county,az_04019,4656 E 1st St,Tucson,85711,,,false,520-325-6101,,http://www.davmembersportal.org/chapters/AZ/18,,,,,,18,"2nd Saturday, 9:00 AM","4656 E 1st St, Tucson, AZ 85711"
DAV Chapter 20 - Glendale #20,dav-chapter-20-az,local,Chapter 20,dav,DAV,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,8447 N 61st Ave,Glendale,85302,33.55969049999999,-112.1894932,true,623-931-7320,,http://www.davmembersportal.org/chapters/AZ/20,,,,,,20,"2nd Thursday, 7:30 PM","8447 N 61st Ave, Glendale, AZ 85302"
DAV Chapter 24 - Star #24,dav-chapter-24-az,local,Chapter 24,dav,DAV,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,14543 W Grand Ave,Surprise,85374,33.656302,-112.3735926,true,505-301-0540,,http://www.davmembersportal.org/chapters/AZ/24,,,,,,24,"4th Tuesday, 10:00 AM","14543 W Grand Ave, Surprise, AZ 85374"
DAV Chapter 26 - San Pedro Vly #26,dav-chapter-26-az,local,Chapter 26,dav,DAV,world-war-1,World War I,AZ,arizona,Pinal County,pinal-county,az_04021,770 E 4th St,Benson,85602,,,false,520-586-8575,,http://www.davmembersportal.org/chapters/AZ/26,,,,,,26,"4th Saturday, 11:00 AM","770 E 4th St, Benson, AZ 85602"
DAV Chapter 27 - London Bridge #27,dav-chapter-27-az,local,Chapter 27,dav,DAV,world-war-1,World War I,AZ,arizona,Mohave County,mohave-county,az_04015,2001 College Dr,Havasu City,86404,34.469374,-114.3399892,true,928-855-0356,,http://www.davmembersportal.org/chapters/AZ/27,,,,,,27,"3rd Monday, 1:00 PM","2001 College Dr, Havasu City, AZ 86404"
DAV Chapter 28 - The Working Chapter #28,dav-chapter-28-az,local,Chapter 28,dav,DAV,world-war-1,World War I,AZ,arizona,Pima County,pima-county,az_04019,5771 S Country Club Rd,Tucson,85706,32.1472206,-110.9259499,true,520-573-0455,,http://www.davmembersportal.org/chapters/AZ/28,,,,,,28,"3rd Saturday, 10:00 AM","5771 S Country Club Rd, Tucson, AZ 85706"
DAV Chapter 36 - Pinal County #36,dav-chapter-36-az,local,Chapter 36,dav,DAV,world-war-1,World War I,AZ,arizona,Pinal County,pinal-county,az_04021,340 Main St,Coolidge,85128,32.9778736,-111.5200343,true,520-494-3283,,http://www.davmembersportal.org/chapters/AZ/36,,,,,,36,"1st Tuesday, 5:30 pm","340 Main St, Coolidge, AZ 85128"
DAV Chapter 1 - Homer Blevins #1,dav-chapter-1-ca,local,Chapter 1,dav,DAV,world-war-1,World War I,CA,california,Fresno County,fresno-county,ca_06019,3509 N 1st St,Fresno,93726,36.8136777,-119.7461767,true,559-241-6401,,http://www.davmembersportal.org/chapters/CA/01,,,,,,1,"3rd Tuesday, 5:30 PM","3509 N 1st St, Fresno, CA 93726"
DAV Chapter 2 - Dick Cosgriff San Diego #2,dav-chapter-2-ca,local,Chapter 2,dav,DAV,world-war-1,World War I,CA,california,San Diego County,san-diego-county,ca_06073,3563 Adams Ave,San Diego,92116,32.6400541,-117.0841955,true,619-299-6916,,http://www.davmembersportal.org/chapters/CA/02,,,,,,2,"1st Monday, 7:30 PM","3563 Adams Ave, San Diego, CA 92116"
DAV Chapter 5 - Los Angeles #5,dav-chapter-5-ca,local,Chapter 5,dav,DAV,world-war-1,World War I,CA,california,Los Angeles County,los-angeles-county,ca_06037,11301 Wilshire Blvd,Los Angeles,90073,,,false,909-964-2643,,http://www.davmembersportal.org/chapters/CA/05,,,,,,5,"3rd Thursday, 11:00 AM","11301 Wilshire Blvd, Los Angeles, CA 90073"
DAV Chapter 6 - Sacramento #6,dav-chapter-6-ca,local,Chapter 6,dav,DAV,world-war-1,World War I,CA,california,Sacramento County,sacramento-county,ca_06067,4404 Fruitridge Rd,Sacramento,95822,38.5247079,-121.4547279,true,916-952-8737,,http://www.davmembersportal.org/chapters/CA/06,,,,,,6,"2nd Saturday, 11:00 AM","4404 Fruitridge Rd, Sacramento, CA 95822"
DAV Chapter 7 - Oakland #7,dav-chapter-7-ca,local,Chapter 7,dav,DAV,world-war-1,World War I,CA,california,Alameda County,alameda-county,ca_06001,200 Grand Ave,Oakland,94610,37.8114137,-122.2612951,true,510-893-1666,,http://www.davmembersportal.org/chapters/CA/07,,,,,,7,"2nd Saturday, 12:00 PM","200 Grand Ave, Oakland, CA 94610"
DAV Chapter 11 - San Jose #11,dav-chapter-11-ca,local,Chapter 11,dav,DAV,world-war-1,World War I,CA,california,Santa Clara County,santa-clara-county,ca_06085,958 Homestead Rd,Santa Clara,95050,37.3487906,-121.9433558,true,408-370-0731,,http://www.davmembersportal.org/chapters/CA/11,,,,,,11,"4th Tuesday, 7:00 PM","958 Homestead Rd, Santa Clara, CA 95050"
DAV Chapter 12 - San Bernardino #12,dav-chapter-12-ca,local,Chapter 12,dav,DAV,world-war-1,World War I,CA,california,San Bernardino County,san-bernardino-county,ca_06071,2501 Pacific St,San Bernardino,92404,,,false,909-770-4812,,http://www.davmembersportal.org/chapters/CA/12,,,,,,12,"2nd Thursday, 12:30 PM","2501 Pacific St, San Bernardino, CA 92404"
DAV Chapter 13 - Cmp Krny Van Nuy #13,dav-chapter-13-ca,local,Chapter 13,dav,DAV,world-war-1,World War I,CA,california,Los Angeles County,los-angeles-county,ca_06037,13553 Reedley St,Panorama City,91402,34.244631,-118.4822149,true,818-718-7205,,http://www.davmembersportal.org/chapters/CA/13,,,,,,13,"4th Thursday, 5:30 PM","13553 Reedley St, Panorama City, CA 91402"
DAV Chapter 15 - Al Jordan #15,dav-chapter-15-ca,local,Chapter 15,dav,DAV,world-war-1,World War I,CA,california,San Joaquin County,san-joaquin-county,ca_06077,5758 Lorraine Ave,Stockton,95210,,,false,209-946-9400,,http://www.davmembersportal.org/chapters/CA/15,,,,,,15,"1st Monday, 6:00 PM","5758 Lorraine Ave, Stockton, CA 95210"
DAV Chapter 16 - Edmund Parrott #16,dav-chapter-16-ca,local,Chapter 16,dav,DAV,world-war-1,World War I,CA,california,San Mateo County,san-mateo-county,ca_06081,1455 Madison Ave,Redwood City,94061,37.4720394,-122.2395387,true,650-576-7875,,http://www.davmembersportal.org/chapters/CA/16,,,,,,16,"2nd Saturday, 12:00 PM","1455 Madison Ave, Redwood City, CA 94061"
DAV Chapter 17 - Long Beach #17,dav-chapter-17-ca,local,Chapter 17,dav,DAV,world-war-1,World War I,CA,california,Los Angeles County,los-angeles-county,ca_06037,420 S Pine Ave,Long Beach,90802,33.7622468,-118.1930581,true,562-896-9143,,http://www.davmembersportal.org/chapters/CA/17,,,,,,17,"3rd Wednesday, 1:30 PM","420 S Pine Ave, Long Beach, CA 90802"
DAV Chapter 20 - Bakersfield #20,dav-chapter-20-ca,local,Chapter 20,dav,DAV,world-war-1,World War I,CA,california,Kern County,kern-county,ca_06029,21 Ridge Rd,Bakersfield,93305,,,false,661-303-4942,,http://www.davmembersportal.org/chapters/CA/20,,,,,,20,"1st Wednesday, 7:00 PM","21 Ridge Rd, Bakersfield, CA 93305"
