title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,hall_rental,club_room,voice_of_democracy,boy_scouts,funeral_honors,patriots_pen,vfw_riders_group
VFW POST 2214,vfw-post-2214-al,local,Post 2214,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Cullman County,cullman-county,al_01043,110 Short St Sw,Cullman,35055,34.1624368,-86.8360177,true,(256) 739-6611,,,,,,,,2214,,false,true,false,true,true,false
SINGLES CLUB VFW POST 2702,vfw-post-2702-al,local,Post 2702,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Madison County,madison-county,al_01089,2900 Memorial Pkwy Sw,Huntsville,35801,34.7060209,-86.5910458,true,(256) 852-4371,,,,,,,,2702,,false,true,false,false,true,false
GRANT VFW POST NO 2739,vfw-post-2739-al,local,Post 2739,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Marshall County,marshall-county,al_01095,4322 Cathedral Caverns Hwy,Grant,35747,34.5131119,-86.2598172,true,(256) 728-4291,,,,,,,,2739,,false,false,false,false,false,false
VFW Post 3212,vfw-post-3212-al,local,Post 3212,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Lee County,lee-county,al_01081,13855 Lee Road 379,Valley,36854,32.6281788,-85.3685095,true,(334) 749-0302,,,,,,,,3212,,false,false,false,false,false,false
VFW POST 3407,vfw-post-3407-al,local,Post 3407,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Jefferson County,jefferson-county,al_01073,1037 2Nd Ct W,Birmingham,35204,33.5041421,-86.8542136,true,(205) 780-9526,,,,,,,,3407,,false,false,false,false,false,false
VFW POST 4722,vfw-post-4722-al,local,Post 4722,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Elmore County,elmore-county,al_01051,1707 Highway 31 N,Prattville,36067,32.4540251,-86.3140978,true,(334) 365-0880,,,,,,,,4722,,false,false,false,false,false,false
VFW POST 5035,vfw-post-5035-al,local,Post 5035,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Tallapoosa County,tallapoosa-county,al_01123,313 Riverside Dr,Tallassee,36078,32.9440768,-85.9530007,true,(334) 283-6636,,,,,,,,5035,,true,true,false,false,true,false
VFW POST 5173 GUNTERSVILLE,vfw-post-5173-al,local,Post 5173,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Marshall County,marshall-county,al_01095,5500 Highway 205,Guntersville,35976,34.2665161,-86.2123578,true,(256) 582-1130,,,,,,,,5173,,false,false,false,false,false,false
VFW POST 5180,vfw-post-5180-al,local,Post 5180,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Russell County,russell-county,al_01113,860 Greenburt Rd,Seale,36875,32.392961,-85.0484363,true,(334) 855-0090,,vfw5180.org,,,,,,5180,No,false,false,false,false,false,false
LINDEN VFW POST 5377,vfw-post-5377-al,local,Post 5377,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Marengo County,marengo-county,al_01091,27850 Us Highway 43,Gallion,36742,32.5102637,-87.8482676,true,(334) 295-0237,,,,,,,,5377,,false,true,false,false,true,false
GASTON LEE VFW POST 5660,vfw-post-5660-al,local,Post 5660,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Baldwin County,baldwin-county,al_01003,950 Nichols St,Fairhope,36532,30.5163905,-87.8713141,true,(334) 928-8532,,,,,,,,5660,,true,true,false,true,true,false
VFW POST NO 6020,vfw-post-6020-al,local,Post 6020,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Geneva County,geneva-county,al_01061,434 Highway 84 E,Daleville,36322,31.0480937,-85.8941749,true,(334) 598-6211,,vfw6020.org,,,,,,6020,No,false,false,false,false,false,false
VFW Post 8600,vfw-post-8600-al,local,Post 8600,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Etowah County,etowah-county,al_01055,817 Rainbow Dr,Gadsden,35901,34.0025346,-86.0042127,true,(256) 546-2440,,vfwpost8600.org,,,,,,8600,No,false,true,false,false,false,false
HOKES BLUFF VFW POST 10409,vfw-post-10409-al,local,Post 10409,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Etowah County,etowah-county,al_01055,4502 Colvin Gap Rd,Gadsden,35905,33.9716775,-86.0868928,true,(256) 492-6901,,,,,,,,10409,,false,false,false,false,false,false
VFW POST 10774,vfw-post-10774-al,local,Post 10774,vfw,VFW,spanish-american-war,Spanish-American War,AL,alabama,Morgan County,morgan-county,al_01103,405 Mill Creek Rd,Falkville,35622,34.6091897,-86.9725228,true,(256) 784-5747,,,,,,,,10774,,false,false,false,false,false,false
VFW POST 2256,vfw-post-2256-ar,local,Post 2256,vfw,VFW,spanish-american-war,Spanish-American War,AR,arkansas,Saline County,saline-county,ar_05125,5323 Sleepy Village Rd,Benton,72015,34.5885361,-92.5258498,true,Phone: (501)778-9876,,www.vfw2256.org,,,,,,2256,Yes,true,true,false,false,true,false
VFW POST 2278,vfw-post-2278-ar,local,Post 2278,vfw,VFW,spanish-american-war,Spanish-American War,AR,arkansas,Hot Spring County,hot-spring-county,ar_05059,630 Ouachita Ave,Hot Springs,71901,34.5038387,-93.0610021,true,Phone: (501)623-5190,,660 East Grand Ave,,,,,,2278,No,true,true,false,false,true,false
VFW POST 4501,vfw-post-4501-ar,local,Post 4501,vfw,VFW,spanish-american-war,Spanish-American War,AR,arkansas,Izard County,izard-county,ar_05065,1680 Chaney Dr,Batesville,72501,35.7626816,-91.6391018,true,Phone: (870)793-9910,,,,,,,,4501,,true,true,false,false,true,false
VFW Post 4554,vfw-post-4554-ar,local,Post 4554,vfw,VFW,spanish-american-war,Spanish-American War,AR,arkansas,Ouachita County,ouachita-county,ar_05103,115 Ouachita 212,Camden,71701,33.6034463,-92.8851636,true,Phone: (870)574-2425,,vfw4554.org,,,,,,4554,No,true,false,false,false,false,false
VFW POST 7057,vfw-post-7057-ar,local,Post 7057,vfw,VFW,spanish-american-war,Spanish-American War,AR,arkansas,Mississippi County,mississippi-county,ar_05093,597 S Air Base Hwy,Blytheville,72315,35.9545035,-89.965198,true,Phone: (870)532-5244,,,,,,,,7057,,false,false,false,false,false,false
RICE YOUNG VFW POST 7514,vfw-post-7514-ar,local,Post 7514,vfw,VFW,spanish-american-war,Spanish-American War,AR,arkansas,Van Buren County,van-buren-county,ar_05141,1295 Bee Branch Rd,Quitman,72131,35.3861741,-92.2162439,true,Phone: (501)589-3233,,,,,,,,7514,,false,true,false,false,true,false
VFW POST 7516,vfw-post-7516-ar,local,Post 7516,vfw,VFW,spanish-american-war,Spanish-American War,AR,arkansas,Hot Spring County,hot-spring-county,ar_05059,259 Malvern Rd,Arkadelphia,71923,34.3550938,-92.7101647,true,Phone: (870)246-9924,,,,,,,,7516,,false,false,false,false,false,false
VFW Post 8845,vfw-post-8845-ar,local,Post 8845,vfw,VFW,spanish-american-war,Spanish-American War,AR,arkansas,Sebastian County,sebastian-county,ar_05131,3005 Tilles Ave,Fort Smith,72901,35.3851105,-94.3995175,true,Phone: (501)783-8394,,vfw8845.org,,,,,,8845,Yes,true,true,false,false,true,false
VFW POST 9095,vfw-post-9095-ar,local,Post 9095,vfw,VFW,spanish-american-war,Spanish-American War,AR,arkansas,Pulaski County,pulaski-county,ar_05119,1121 Gamble Rd,Little Rock,72211,34.7444646,-92.417938,true,Phone: (501)225-9849,,vfw9095.org,,,,,,9095,Yes,true,true,false,false,true,false
VFW POST 10442,vfw-post-10442-ar,local,Post 10442,vfw,VFW,spanish-american-war,Spanish-American War,AR,arkansas,Pulaski County,pulaski-county,ar_05119,6101 Highway 70,North Little Rock,72117,34.7223681,-92.3383026,true,Phone: (501)945-4116,,,,,,,,10442,,true,true,false,false,true,false
VFW Post 549,vfw-post-549-az,local,Post 549,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Pima County,pima-county,az_04019,1884 S Craycroft Rd,Tucson,85711,32.2134291,-110.8748918,true,(520) 790-4626,,vfw549.org,,,,,,549,Yes,true,true,false,false,true,false
VFW Post 720,vfw-post-720-az,local,Post 720,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Maricopa County,maricopa-county,az_04013,4853 E Thomas Rd,Phoenix,85018,33.4796595,-111.976622,true,(602) 952-9646,,,,,,,,720,,true,true,false,false,true,false
VFW POST 1677,vfw-post-1677-az,local,Post 1677,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,,,az_,111 E 2Nd St,Casa Grande,85222,32.8765069,-111.7526192,true,(520) 836-5199,,vfw1677.org,,,,,,1677,Yes,true,true,false,true,true,false
VFW POST 1704 INCORPORATED,vfw-post-1704-az,local,Post 1704,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Gila County,gila-county,az_04007,707 S Broad St,Globe,85501,33.3950762,-110.7867696,true,(520) 425-0888,,,,,,,,1704,,true,false,false,true,false,false
VFW Post 1709,vfw-post-1709-az,local,Post 1709,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Coconino County,coconino-county,az_04005,409 W Santa Fe Ave,Flagstaff,86001,35.1988703,-111.6540967,true,(520) 774-7722,,,,,,,,1709,,true,true,false,true,false,false
VFW Post 1710,vfw-post-1710-az,local,Post 1710,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Maricopa County,maricopa-county,az_04013,1629 E Jackson St,Phoenix,85034,33.4450994,-112.0466837,true,(602) 253-7894,,,,,,,,1710,,false,false,false,false,false,false
VFW Post 1760,vfw-post-1760-az,local,Post 1760,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Maricopa County,maricopa-county,az_04013,65 S Macdonald,Mesa,85210,33.4137252,-111.8339902,true,(480) 964-9937,,MesaVFW.org,,,,,,1760,Yes,true,true,false,false,true,false
VFW POST 1763,vfw-post-1763-az,local,Post 1763,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Yuma County,yuma-county,az_04027,2485 E 14Th St,Yuma,85365,32.7021965,-114.5918456,true,(520) 783-1763,,vfw1763.org,,,,,,1763,No,true,false,false,false,false,false
VFW Post 3513,vfw-post-3513-az,local,Post 3513,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Maricopa County,maricopa-county,az_04013,7220 E Wilshire Dr,Scottsdale,85257,33.4762825,-111.9253503,true,(480) 941-9849,,www.vfwpost3513.com,,,,,,3513,Yes,true,true,false,false,true,false
VFW POST 3632,vfw-post-3632-az,local,Post 3632,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Maricopa County,maricopa-county,az_04013,4415 S Rural Rd,Tempe,85282,33.3838174,-111.9249582,true,(480) 831-9037,,vfw3632.org,,,,,,3632,No,false,true,false,false,true,false
VFW POST 7061,vfw-post-7061-az,local,Post 7061,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,La Paz County,la-paz-county,az_04012,516 S Hopi Ave,Parker,85344,34.1539631,-114.2894855,true,(520) 669-2508,,,,,,,,7061,,false,false,false,false,false,false
VFW Post 7401,vfw-post-7401-az,local,Post 7401,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Maricopa County,maricopa-county,az_04013,751 S Arizona Ave,Chandler,85225,33.2936264,-111.8415319,true,(480) 963-1777,,vfw7401.org,,,,,,7401,No,true,true,false,false,true,false
VFW POST 7968,vfw-post-7968-az,local,Post 7968,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,,,az_,725 W Apache Trl,Apache Junction,85220,33.4143012,-111.5545163,true,(480) 671-6239,,vfw7968.org,,,,,,7968,Yes,true,false,false,false,false,false
VFW Post 8015,vfw-post-8015-az,local,Post 8015,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Maricopa County,maricopa-county,az_04013,5019 S 2Nd St,Phoenix,85040,33.4005369,-112.0710228,true,(602) 268-6001,,,,,,,,8015,,false,false,false,false,false,false
VFW POST 9401,vfw-post-9401-az,local,Post 9401,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Mohave County,mohave-county,az_04015,266 London Bridge Rd,Lake Havasu City,86403,34.4803584,-114.3507609,true,(520) 855-5374,,"www,vfw9401.org",,,,,,9401,No,false,false,false,false,false,false
VFW POST 9907,vfw-post-9907-az,local,Post 9907,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Navajo County,navajo-county,az_04017,381 N Central Ave,Show Low,85901,34.253028,-110.042324,true,(520) 537-7511,,www.vfw9907.org,,,,,,9907,No,false,false,false,false,false,false
VFW POST 9977,vfw-post-9977-az,local,Post 9977,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Cochise County,cochise-county,az_04003,114 Ford Rd,Pearce,85625,31.4632288,-109.5911097,true,(520) 826-3961,,www.vfw9977.org,,,,,,9977,No,true,true,false,false,true,false
VFW POST 10005 BULLHEAD CITY,vfw-post-10005-az,local,Post 10005,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Mohave County,mohave-county,az_04015,1611 E Marble Canyon Dr,Bullhead City,86442,35.086006,-114.5892071,true,(520) 758-7808,,https://www.facebook.com/pages/VFW-Post-10005,,,,,,10005,No,true,true,false,true,true,false
VFW Post 10008,vfw-post-10008-az,local,Post 10008,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Pima County,pima-county,az_04019,2444 N Tucson Blvd,Tucson,85716,32.2510267,-110.9352583,true,(520) 327-4067,,,,,,,,10008,,false,false,false,false,false,false
VFW Post 10188,vfw-post-10188-az,local,Post 10188,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Pima County,pima-county,az_04019,345 E Roger Rd,Tucson,85705,32.279328,-110.9659941,true,(520) 293-6023,,,,,,,,10188,,false,false,false,false,false,false
VFW POST 10386,vfw-post-10386-az,local,Post 10386,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Mohave County,mohave-county,az_04015,3036 John L Ave,Kingman,86401,36.0146425,-114.7334314,true,(520) 757-9191,,,,,,,,10386,,true,false,false,true,false,false
VFW Post 10419,vfw-post-10419-az,local,Post 10419,vfw,VFW,spanish-american-war,Spanish-American War,AZ,arizona,Pima County,pima-county,az_04019,9516 E Burnett St,Tucson,85730,32.179375,-110.788915,true,(520) 751-0981,,,,,,,,10419,,false,false,false,false,false,false
VFW Post 8,vfw-post-8-ca,local,Post 8,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Los Angeles County,los-angeles-county,ca_06037,1816 S Figueroa St,Los Angeles,90015,34.0351398,-118.2714354,true,(213) 748-2026,,,,,,,,8,,false,false,false,false,false,false
VFW Post 52,vfw-post-52-ca,local,Post 52,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,San Joaquin County,san-joaquin-county,ca_06077,513 N Center St,Stockton,95202,37.9576804,-121.2926194,true,(209) 941-8391,,"www,vfwstockton.org",,,,,,52,No,true,false,false,true,false,false
VFW Post 67,vfw-post-67-ca,local,Post 67,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Sacramento County,sacramento-county,ca_06067,2784 Stockton Blvd,Sacramento,95817,38.5495729,-121.4549931,true,(916) 453-9209,,VFWPost67.org,,,,,,67,Yes,true,false,false,true,false,false
VFW Post 75,vfw-post-75-ca,local,Post 75,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Contra Costa County,contra-costa-county,ca_06013,400 Hartz Ave,Danville,94526,37.8217474,-121.999404,true,(925) 362-9806,,vfwpost75.org,,,,,,75,No,false,true,false,false,true,false
VFW Post 888,vfw-post-888-ca,local,Post 888,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Riverside County,riverside-county,ca_06065,623 S D St,Perris,92570,33.7810198,-117.2286091,true,(909) 940-0051,,vfwperrispost888.com,,,,,,888,No,true,false,false,false,false,false
VFW Post 904,vfw-post-904-ca,local,Post 904,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Placer County,placer-county,ca_06061,Po Box 904,Rocklin,95677,39.009344,-120.7707639,true,(916) 624-1123,,vfw904.org,,,,,,904,No,false,true,false,false,true,false
VFW Post 1051,vfw-post-1051-ca,local,Post 1051,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,San Joaquin County,san-joaquin-county,ca_06077,1140 Moffatt Blvd,Ripon,95366,37.7164378,-121.448622,true,(209) 599-6815,,vfw1051.org,,,,,,1051,Yes,true,true,false,true,true,false
VFW Post 1053,vfw-post-1053-ca,local,Post 1053,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Los Angeles County,los-angeles-county,ca_06037,1615 E Washington Blvd,Pasadena,91104,34.1691824,-118.1173313,true,(626) 794-5033,,,,,,,,1053,,false,false,false,false,false,false
VFW Post 1123,vfw-post-1123-ca,local,Post 1123,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Solano County,solano-county,ca_06095,Po Box 4596,Vallejo,94590,38.0715045,-122.2312778,true,(707) 643-7074,,vfw1123.org,,,,,,1123,No,true,false,false,true,true,false
VFW Post 1267,vfw-post-1267-ca,local,Post 1267,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Sacramento County,sacramento-county,ca_06067,7576 Stockton Blvd,Sacramento,95823,38.482599,-121.422927,true,(916) 423-1102,,vfw1267.org,,,,,,1267,Yes,true,true,false,false,false,false
VFW POST 1381,vfw-post-1381-ca,local,Post 1381,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Del Norte County,del-norte-county,ca_06015,810 H St,Crescent City,95531,41.7556363,-124.2012805,true,(707) 465-4214,,,,,,,,1381,,true,false,false,true,false,false
VETERANS OF FOREIGN WARS VFW POST 1392 CANTEEN,vfw-post-1392-ca,local,Post 1392,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,San Diego County,san-diego-county,ca_06073,4944 Newport Ave,San Diego,92107,32.746562,-117.249889,true,(619) 225-0921,,,,,,,,1392,,false,false,false,false,false,false
VFW POST 1537,vfw-post-1537-ca,local,Post 1537,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,San Joaquin County,san-joaquin-county,ca_06077,430 W Grant Line Rd,Tracy,95376,37.7540452,-121.4334912,true,(209) 839-1537,,vfw1537.org,,,,,,1537,No,false,true,false,true,true,false
VFW Post 1614,vfw-post-1614-ca,local,Post 1614,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Los Angeles County,los-angeles-county,ca_06037,2937 Honolulu Ave,La Crescenta,91214,34.0708777,-118.4468503,true,(818) 249-9380,,vetspost1614.com,,,,,,1614,No,false,false,false,false,false,false
VFW Post 1679,vfw-post-1679-ca,local,Post 1679,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Ventura County,ventura-county,ca_06111,3801 Market St,Ventura,93003,34.2602289,-119.2433026,true,(805) 642-2674,,vfw1679.org,,,,,,1679,Yes,true,true,false,false,true,false
VFW Post 1716,vfw-post-1716-ca,local,Post 1716,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Santa Cruz County,santa-cruz-county,ca_06087,1960 Freedom Blvd,Freedom,95019,36.9404824,-121.7816962,true,(831) 724-9945,,www.vfwwebcom.org/post1716,,,,,,1716,Yes,true,true,false,false,false,false
VFW Post 1732,vfw-post-1732-ca,local,Post 1732,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Los Angeles County,los-angeles-county,ca_06037,9535 California Ave,South Gate,90280,33.9483376,-118.2070319,true,(323) 566-5402,,,,,,,,1732,,false,false,false,false,false,false
VFW Post 1744,vfw-post-1744-ca,local,Post 1744,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,San Bernardino County,san-bernardino-county,ca_06071,1541 W 24Th St,San Bernardino,92411,34.1385242,-117.321036,true,(909) 887-0511,,,,,,,,1744,,false,false,false,false,false,false
VFW Post 1774,vfw-post-1774-ca,local,Post 1774,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,San Diego County,san-diego-county,ca_06073,7298 University Ave,La Mesa,91941,32.7678278,-117.0187065,true,(619) 462-1172,,vfwlamesa.org,,,,,,1774,Yes,false,false,false,false,true,false
VFW Post 1929,vfw-post-1929-ca,local,Post 1929,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Sonoma County,sonoma-county,ca_06097,1094 Petaluma Blvd S,Petaluma,94952,38.227386,-122.6249335,true,(707) 762-5698,,www.vfw1929.org,,,,,,1929,Yes,true,false,false,false,false,false
VFW POST 1934 CLUB ROOM,vfw-post-1934-ca,local,Post 1934,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Shasta County,shasta-county,ca_06089,1251 Oregon St,Redding,96001,40.5861349,-122.3951415,true,(530) 241-9168,,vfw1934.org,,,,,,1934,Yes,false,false,false,false,false,false
VFW POST NO 1950,vfw-post-1950-ca,local,Post 1950,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,San Bernardino County,san-bernardino-county,ca_06071,82770 Trona Rd,Trona,93562,35.7563756,-117.380455,true,(760) 372-5990,,,,,,,,1950,,false,false,false,false,false,false
VFW Post 1985,vfw-post-1985-ca,local,Post 1985,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Yolo County,yolo-county,ca_06113,345 W Kentucky Ave,Woodland,95695,38.6922575,-121.7991758,true,(530) 668-9930,,,,,,,,1985,,false,false,false,false,false,false
VFW Post 2018,vfw-post-2018-ca,local,Post 2018,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,San Bernardino County,san-bernardino-county,ca_06071,101 S Main St,Pomona,91766,34.058483,-117.752444,true,(909) 629-0889,,,,,,,,2018,,false,false,false,false,false,false
VFW POST 2111 QUARTEMASTER,vfw-post-2111-ca,local,Post 2111,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,San Diego County,san-diego-county,ca_06073,299 I St,Chula Vista,91910,32.631337,-117.075671,true,(858) 476-1568,,vfwpost2111.org,,,,,,2111,Yes,false,false,false,false,false,false
VFW Post 2317,vfw-post-2317-ca,local,Post 2317,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Los Angeles County,los-angeles-county,ca_06037,2426 W Whittier Blvd,Montebello,90640,34.0140473,-118.1277802,true,(323) 721-1225,,,,,,,,2317,,false,false,false,false,false,false
VFW Post 2422,vfw-post-2422-ca,local,Post 2422,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,San Diego County,san-diego-county,ca_06073,557 Orange Ave,Coronado,92118,32.6918743,-117.1758874,true,(619) 435-6917,,vfwpost2422.com,,,,,,2422,Yes,false,false,false,false,false,false
VFW POST 2600,vfw-post-2600-ca,local,Post 2600,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Calaveras County,calaveras-county,ca_06009,156 W Saint Charles St,San Andreas,95249,38.1973622,-120.6840849,true,(209) 754-3916,,,,,,,,2600,,true,false,false,true,false,false
VFW Post 2655,vfw-post-2655-ca,local,Post 2655,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Nevada County,nevada-county,ca_06057,415 N Pine St,Nevada City,95959,39.2641206,-121.0192385,true,(530) 265-8396,,www.facebook.com/vfwpost2655nevadacity,,,,,,2655,No,true,false,false,false,false,false
VFW Post 2828,vfw-post-2828-ca,local,Post 2828,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Los Angeles County,los-angeles-county,ca_06037,1000 N Catalina Ave,Redondo Beach,90277,33.8420755,-118.3885965,true,(310) 376-1605,,,,,,,,2828,,true,false,false,false,true,false
VFW POST 2922,vfw-post-2922-ca,local,Post 2922,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Stanislaus County,stanislaus-county,ca_06099,520 S Sierra Ave,Oakdale,95361,37.7620043,-120.8427544,true,(209) 847-8387,,,,,,,,2922,,false,false,false,false,false,false
VFW Post 3045,vfw-post-3045-ca,local,Post 3045,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Sacramento County,sacramento-county,ca_06067,9346 Greenback Ln,Orangevale,95662,38.6786712,-121.2418477,true,(916) 988-8929,,,,,,,,3045,,false,false,false,false,false,false
VFW Post 3173,vfw-post-3173-ca,local,Post 3173,vfw,VFW,spanish-american-war,Spanish-American War,CA,california,Orange County,orange-county,ca_06059,805 E Sycamore St,Anaheim,92805,33.8419661,-117.9078322,true,(714) 533-3173,,www.veteransofforeignwarsanaheimpost3173.com,,,,,,3173,Yes,true,true,false,false,true,false
