title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number
VFW Department of Hawaii,vfw-hi,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,HI,hawaii,Honolulu County,honolulu-county,hi_15003,438 Hobron Lane Suite 407,Hononlulu,96815,21.094318,-157.498337,true,808-946-7250,,https://vfwhi.org,https://www.facebook.com/vfwdepartmentofhawaii,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Iowa,vfw-ia,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,IA,iowa,Polk County,polk-county,ia_19153,3601 Beaver Avenue,Des Moines,50310,42.011539,-93.210526,true,833-839-8387,news@who13.com,https://www.vfwia.org,https://www.facebook.com/departmentofiavfw/,https://www.instagram.com/vfwhq/,,https://youtu.be/5-c33re7dfu?si=qnlcresfjosri6pu,https://www.linkedin.com/company/vfwhq,
VFW Department of Idaho,vfw-id,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,ID,idaho,Ada County,ada-county,id_16001,1425 South Roosevelt,Boise,83705,44.240459,-114.478828,true,208-342-2438,webmaster@vfwid.org,https://vfwid.org,https://www.facebook.com/vfwdepartmentofidaho/,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Illinois,vfw-il,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,IL,illinois,Sangamon County,sangamon-county,il_17167,3300 Constitution Drive,Springfield,62711,40.349457,-88.986137,true,217-529-6688,,https://vfwil.org,https://www.facebook.com/vfw-state-of-illinois-245420335814882/,https://www.instagram.com/vfwhq/,,https://youtu.be/uk4ufukanuk,https://www.linkedin.com/company/vfwhq,
VFW Department of Indiana,vfw-in,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,IN,indiana,Marion County,marion-county,in_18097,9555 East 59th Street,Indianapolis,46216,39.849426,-86.258278,true,317-916-3629,edie.seilervfw@gmail.com,https://vfwin.org,http://www.facebook.com/VFWFans,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Kansas,vfw-ks,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,KS,kansas,Shawnee County,shawnee-county,ks_20177,P.O. Box 1008,Topeka,66601,38.5266,-96.726486,true,(785) 272-6463,,https://vfwks.org,https://www.facebook.com/vfwkansas/,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Kentucky,vfw-ky,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,KY,kentucky,Jefferson County,jefferson-county,ky_21111,3031 Poplar Level Rd,Louisville,40217,37.66814,-84.670067,true,502-635-2638,,https://vfwky.org,https://www.facebook.com/department-of-ky-vfw-136322409721620/,https://www.instagram.com/vfwky/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Louisiana,vfw-department-of-louisiana,state,VFW,vfw,vfw,spanish-american-war,Spanish–American War,LA,louisiana,East Baton Rouge Parish,east-baton-rouge-parish,la_22033,10185 Mammoth,Baton Rouge,70814,30.407,-91.168,true,,,https://vfwdeptla.org/,,,,,,
VFW Department of Massachusetts,vfw-ma,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,MA,massachusetts,Suffolk County,suffolk-county,ma_25025,24 Beacon Street,Boston,2133,42.230171,-71.530106,true,617-727-2612,adjutant@vfwma.org,https://vfwma.org,https://www.facebook.com/377265102417702,https://www.instagram.com/vfwdeptofma,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Maryland,vfw-md,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,MD,maryland,Baltimore city,baltimore-city,md_24510,101 North Gay Street,Baltimore,21202,39.063946,-76.802101,true,410-752-6474,,https://vfwmd.org,https://www.facebook.com/groups/vfwmaryland/,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Maine,vfw-me,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,ME,maine,Kennebec County,kennebec-county,me_23011,PO Box 376,Manchester,4351,44.693947,-69.381927,true,(207) 907-5584,,https://vfwme.org,https://www.facebook.com/vfwdepartmentofmaine,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Michigan,vfw-mi,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,MI,michigan,Clinton County,clinton-county,mi_26037,924 N Washington Ave,Lansing,48906,43.326618,-84.536095,true,517-485-9456,,https://vfwmi.org,https://facebook.com/vfwmi/,https://www.instagram.com/vfwmi/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Minnesota,vfw-mn,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,MN,minnesota,Ramsey County,ramsey-county,mn_27123,Rice Street Station PO Box 17146,Saint Paul,55117,45.694454,-93.900192,true,(651) 291-1757,,https://vfwmn.org,https://www.facebook.com/mnvfw,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Missouri,vfw-mo,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,MO,missouri,New Madrid County,new-madrid-county,mo_29143,1102 Scott St. New,Madrid,63869,38.456085,-92.288368,true,417-866-5253,peterhook@verizon.net,https://movfw.org,https://www.facebook.com/groups/305224359080,https://www.instagram.com/vfwhq/,,http://youtube.com/@movfwmissouri,https://www.linkedin.com/company/vfwhq,
VFW Department of Mississippi,vfw-ms,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,MS,mississippi,Hinds County,hinds-county,ms_28049,P.O. Box 2027,Jackson,39225,32.741646,-89.678696,true,228-762-7182,,https://vfwms.org,https://www.facebook.com,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Montana,vfw-mt,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,MT,montana,Lewis and Clark County,lewis-and-clark-county,mt_30049,Mt Majo St. Fort,Harrison,59636,46.921925,-110.454353,true,406-324-3992,,https://vfwmt.org,https://www.facebook.com/vfw.montana/,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of North Carolina,vfw-nc,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,NC,north-carolina,Cumberland County,cumberland-county,nc_37051,PO Box 367 Spring,Lake,28390,35.630066,-79.806419,true,910-585-1245,adj@vfwnc.com,https://vfwnc.com,https://www.facebook.com/pages/veterans-of-foreign-wars-vfw-north-carolina/131536830213867?ref=hl,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of North Dakota,vfw-nd,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,ND,north-dakota,Burleigh County,burleigh-county,nd_38015,3101 Montana Dr.,Bismarck,58503,47.528912,-99.784012,true,,,https://vfwnd.org,http://www.facebook.com/VFWFans,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Nebraska,vfw-ne,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,NE,nebraska,Lancaster County,lancaster-county,ne_31109,2431 N. 48th Street,Lincoln,68504,41.12537,-98.268082,true,402-464-0674,,https://vfwne.com,https://www.facebook.com/vfwnebraska/,https://www.instagram.com/vfwhq/,,https://www.youtube.com/user/vfwne?feature=mhee,https://www.linkedin.com/in/vfw-nebraska-20220888,
VFW Department of NH,vfw-nh,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,NH,new-hampshire,Rockingham County,rockingham-county,nh_33015,House 89 Main St,Durham,3824,43.452492,-71.563896,true,(603) 862-0355,Penny.Watson@unh.edu,https://vfwnh.org,https://www.facebook.com/profile.php?id=100064572074042,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of New Jersey,vfw-nj,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,NJ,new-jersey,Mercer County,mercer-county,nj_34021,"171 Jersey St, Bldg 5 2nd Floor",Trenton NJ,8611,40.298904,-74.521011,true,609-393-1929,adjutant@njvfw.com,https://vfwnj.org,https://www.facebook.com/njvfwhq,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of New Mexico,vfw-nm,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,NM,new-mexico,Lincoln County,lincoln-county,nm_35027,PO Box 1084 Ruidoso,Downs,88346,34.840515,-106.248482,true,(575) 973-4965,,https://vfwnm.org,https://www.facebook.com/vfwdepartmentofnewmexico/,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Nevada,vfw-nv,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,NV,nevada,Storey County,storey-county,nv_32029,1285 Baring Blvd. #184,Sparks,89434,38.313515,-117.055374,true,775-544-8786,,https://vfwnv.com,https://www.facebook.com/vfw-department-of-nevada-160466602778867,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of New York,vfw-ny,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,NY,new-york,Albany County,albany-county,ny_36001,69 Sand Creek Road,Albany,12205,42.165726,-74.948051,true,518-463-7427,Facebook @VFWNewYork.com,https://vfwny.com,https://www.facebook.com/vfwnewyork,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Ohio,vfw-oh,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,OH,ohio,Franklin County,franklin-county,oh_39049,Chestnut St Ste 506,Columbus,43215,40.388783,-82.764915,true,614-224-1838,rick.ohvfwqm@gmail.com,https://vfwoh.org,https://www.facebook.com/ohiovfw/,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Oklahoma,vfw-ok,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,OK,oklahoma,Oklahoma County,oklahoma-county,ok_40109,P.O Box 1126 Oklahoma,City,73101,35.565342,-96.928917,true,405-850-0815,,https://www.vfwoklahoma.org,https://www.facebook.com/vfwok,https://www.instagram.com/vfwhq/,,https://www.youtube.com/watch?v=30_olnnefqq,https://www.linkedin.com/company/vfwhq,
VFW Department of Oregon,vfw-or,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,OR,oregon,Marion County,marion-county,or_41047,800 Liberty St NE,Salem,97301,44.572021,-122.070938,true,,,https://vfwor.org,https://www.facebook.com/profile.php?id=100068814918007,https://www.instagram.com/vfwhq/,,https://www.youtube.com/user/vfwvids,https://www.linkedin.com/company/vfwhq,
VFW Department of Pennsylvania,vfw-pa,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,PA,pennsylvania,Dauphin County,dauphin-county,pa_42043,Address 4002 Fenton Ave,Harrisburg,17109,40.590752,-77.209755,true,717-234-7927,,https://vfwpa.org,https://www.facebook.com/pavfwhq,https://www.instagram.com/vfwdepartmentofpennsylvania/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Rhode Island,vfw-ri,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,RI,rhode-island,Providence County,providence-county,ri_44007,One Capitol Hill,Providence,2908,41.680893,-71.51178,true,401-574-8161,adj@vfwri.org,https://vfwri.org,https://www.facebook.com/vfwdeptofri,https://www.instagram.com/vfw_ri/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of South Carolina,vfw-sc,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,SC,south-carolina,Lexington County,lexington-county,sc_45063,210 Glassmaster Road,Lexington,29072,33.856892,-80.945007,true,803-808-0317,,https://vfwsc.org,https://www.facebook.com/vfwscnporg/,https://www.instagram.com/vfwdeptofsc/,,https://www.youtube.com/vfwvids,https://www.linkedin.com/company/vfwhq,
VFW Department of South Dakota,vfw-sd,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,SD,south-dakota,Lincoln County,lincoln-county,sd_46083,Ste 135 Sioux Falls,SD,57104,44.299782,-99.438828,true,(605) 332-7441,,https://vfwsd.org,https://www.facebook.com/departmentsdvfw/,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Tennessee,vfw-tn,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,TN,tennessee,Davidson County,davidson-county,tn_47037,301 6th Avenue North G-21 War Memorial Bldg,Nashville,37243,35.747845,-86.692345,true,615-242-5851,tnvfw@att.net,https://vfwtn.org,wwwfacebook.com/vfw.tn,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Texas,vfw-tx,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,TX,texas,Travis County,travis-county,tx_48453,8503 N. IH 35,Austin,78753,31.054487,-97.563461,true,(512) 834-8535,info@texasvfw.org,https://www.texasvfw.org,https://www.facebook.com/texasvfw/,https://www.instagram.com/texasvfw/?hl=en,,https://www.youtube.com/@thebattlerhythmpodcast,https://www.linkedin.com/company/texas-vfw/,
VFW Department of Utah,vfw-ut,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,UT,utah,Salt Lake County,salt-lake-county,ut_49035,550 Foothill Drive,Salt Lake City,84158,40.150032,-111.862434,true,(801) 326-2385,harley.boyles@va.gov,https://vfwut.org,https://www.facebook.com/vfwutah,https://www.instagram.com/vfw_dept_of_utah/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Virginia,vfw-va,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,VA,virginia,Augusta County,augusta-county,va_51015,403 Lee Jackson HWY,Staunton,24401,37.769337,-78.169968,true,540-886-8112,,https://vfwva.org,https://www.facebook.com/veterans-of-foreign-wars-vfw-virginia-144810682200654/,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Vermont,vfw-vt,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,VT,vermont,Washington County,washington-county,vt_50023,1248 126 State St,Monpelier,5601,44.045876,-72.710686,true,802-229-1852,VFW9653HALLRENTAL@gmail.com,https://vfwvt.org,http://www.facebook.com/VFWFans,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Washington,vfw-wa,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,WA,washington,Pierce County,pierce-county,wa_53053,5213 Pacific Highway East,Fife,98424,47.400902,-121.490494,true,833-839-8387,msc@vfw.org,https://vfwwa.org,https://www.facebook.com/vfwwa/,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Wisconsin,vfw-wi,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,WI,wisconsin,Dane County,dane-county,wi_55025,4622 Dutch Mill Road,Madison,53716,44.268543,-89.616508,true,608-221-5276,,https://vfwwi.org,http://www.facebook.com/VFWFans,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of West Virginia,vfw-wv,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,WV,west-virginia,Kanawha County,kanawha-county,wv_54039,5532 MacCorkle Ave SW,South Charleston,25309,38.491226,-80.954453,true,(304) 395-2430,vfwqm@frontier.com,https://vfwwv.com,http://www.facebook.com/VFWFans,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
VFW Department of Wyoming,vfw-wy,state,VFW,vfw,VFW,spanish-american-war,Spanish–American War,WY,wyoming,Natrona County,natrona-county,wy_56025,1480 E. Sunlight Dr,Casper,82601,42.755966,-107.30249,true,307-514-5087,,https://vfwwy.org,https://www.facebook.com/VFWWY,https://www.instagram.com/vfwhq/,,https://www.youtube.com/c/vfwhq,https://www.linkedin.com/company/vfwhq,
